Alert,Description,Date
"Winter Storms and Impassable Road Conditions (Updated April 3, 2023)","RAIN AND SNOW ON THE ARIZONA STRIP. Roads impassable above 5,000ft due to deep mud, snow, and ice. Mt. Trumbull, Whitmore Canyon, Twin Point, etc can't be reached safely. Roads to Pakoon Springs and Tassi Ranch require crossing flowing water in washes.",2023-04-03 16:24:46.0
Trees down on trails,"There are multiple trees down on trails, including Sugar Run and Object Lesson Road. Use caution.",2023-04-03 15:42:25.0
Upcoming Civil War Trail Closure-North Loop,"Starting on April 17, 2023, the North Loop of the Glorieta Pass Civil War Battlefield Trail will close to all visitors for maintenance of seven bridges. The South loop will remain open. Maintenance is expected to take two months.",2023-04-03 15:41:45.0
Standing Water and Debris on Longer Trails,"Due to recent flooding, there may be areas of standing water and debris on longer trails: Oakridge, River, Kingsnake.",2023-04-03 15:27:05.0
Cave Tour Reservations Available & Strongly Recommended,Advance cave tour reservations are available on recreation.gov through May 31st. June reservations will become available the first of May. The reservations close at noon the day before. Reservations are the best way to ensure tickets for your group.,2023-04-03 15:11:57.0
Pet Restrictions in Effect March 15 through Labor Day,Dogs and other pets are not allowed in the Otis Pike Fire Island High Dune Wilderness or on any of Fire Island's federally owned oceanfront beaches from March 15 through Labor Day to help protect threatened and endangered beach-nesting shorebirds.,2023-04-03 14:46:27.0
Shuttle drivers needed! Apply now!,Carl Sandburg Home seeks motor vehicle operators to drive the park’s 5-7 passenger wheelchair accessible visitor shuttle. All training will be provided. Applications accepted through April 7. Click to learn more and how to apply.,2023-04-03 14:11:47.0
Sections of moat wall closed to snorkeling,"From April to June, approximately one-half of the moat wall will be closed to snorkeling during coral relocation work. Signs will be posted and closed areas will be marked with swim lanes. Beaches and moat walkway remain open.",2023-04-03 13:29:58.0
Winter Weather Affecting Operations,Due to a winter storm the park will be closed April 4th.,2023-04-03 12:59:08.0
Traffic delays,A contractor is working on the waterline near the tour road entrance. Visitors should expect short traffic delays and/or one lane traffic near the location.,2023-04-03 11:32:16.0
Fuel Unavailable,"Pumps at Big Meadows Wayside, the Park's only gas station, are closed for upgrades. Fuel will not be available inside the Park. Please arrive with a full tank before you enter.",2023-04-03 11:19:01.0
Temporary Facility Closures,"Fort Barrancas, Opal Beach Complex Restrooms Pavilion A, C, and E are closed.",2023-04-03 11:00:27.0
"Wind Advisory is in effect until 11 pm on Monday, April 3.","The NWS has issued a Wind Advisory for the Coastal North Bay, including Point Reyes. Northwest winds of 15 to 30 mph are expected, with gusts of 45 to 55. Strong winds may blow down limbs, trees, and power lines; avoid hiking in wooded areas.",2023-04-03 09:28:14.0
"Monday, April 3, 2023 - Wind Advisory - Sustained: Between 30 and 40 Mph - Gusts up to 70 Mph","Much colder on Tuesday with a chance of rain/snow. All trails into the canyon are snow-packed and icy. You will encounter snow drifts, icy slush, mud and fallen rocks from snowmelt. Foot traction and trekking poles are recommended.",2023-04-03 09:27:56.0
"What's Closed and What's Open This Week? —Monday April 3, 2023","Coconino County is in CDC LOW Community Level —Face masks are not required this week, indoors or on park shuttle buses. The Visitor Center is CLOSED today. Follow the link for a list of the available services and their hours of operation.",2023-04-03 09:26:49.0
Tree Down on Low Boardwalk,"A tree is down on the Low Boardwalk near Stop 8. Please consider Boardwalk as an out-and-back trail rather than a loop, until tree may be removed. More information available at the Harry Hampton Visitor Center.",2023-04-03 08:55:23.0
Sieur de Monts Parking Area Closed,The parking area at Sieur de Monts is closed due to ongoing flooding.,2023-04-03 06:55:11.0
Historic Cant Ranch Home & Museum Hours,"Starting April 9th, the Cant Ranch Historic Home & Museum will be open to the public Wednesday - Mondays from 10:00 am to 2:00 pm.",2023-04-02 18:17:43.0
Ravine Trial Closed,"Due to damage caused by high winds, the Ravine Trail at Zollicoffer Park is closed until further notice.",2023-04-02 14:21:46.0
All Lava Tube Caves Closed for the Season,"All lava tube caves are closed for the season due to hazardous ice and snow. No cave permits will be issued at this time. Typically, the caves do not reopen until early summer.",2023-04-02 11:55:49.0
"Sol Duc Campground Opening Delayed until April 7, 2023 or Later","The Sol Duc Road opened on March 28th, 2023, however, the Sol Duc campground will not open until April 7th. Delays are due to heavy snow and additional maintenance that is needed.",2023-04-02 11:22:03.0
Areas Closed Temporarily Due to Hurricane Damage,"*Apollo Beach boardwalk 1A is temporarily closed for beach access. *Apollo Beach parking area 6 on the lagoon side. *Playalinda Beach parking areas: 6, Eddy Creek, & 12.",2023-04-02 11:08:43.0
Shiloh Visitor Center Closure,"The Shiloh Battlefield visitor center is currently closed to install new museum exhibits. The park film is not being shown at this time. The bookstore, restrooms, picnic area, and battlefield auto tour remain open.",2023-04-02 09:56:37.0
Visitor Center Closed 4/2/23,"The Visitor Center is closed Sunday, April 2, 2023 - Tuesday, April 4, 2023. We will reopen on Wednesday, April 5, 2023 10 a.m. - 3 p.m. as scheduled.",2023-04-01 19:13:00.0
"Thursday, April 6: No Ranger-led Programs at the Boyhood Home or Texas White House Complex","To allow staff to attend training, Thursday, April 6, there will be no ranger-led programs at the Boyhood Home or the Texas White House Complex. Visitor centers will be open and staffed. Visitors can drive the ranch and explore park grounds on their own.",2023-04-01 16:57:12.0
PARK CLOSED Due to Wildfire Danger,"Due to the threat of a nearby wildfire, the Monument is currently closed.",2023-04-01 10:09:14.0
Several Park Trails Temporarily Closed,Most park trails are closed as staff clear debris left by recent storms. The visitor center and park road are open.,2023-04-01 09:37:31.0
COVID-19 mask requirement as of 4/01/2023,"In observance of COVID protocol, visitors are asked to wear masks and observe social distancing when required.",2023-04-01 09:14:04.0
Tioga Road and Glacier Point Road are closed for the winter,"Tioga Road (continuation of Highway 120 through the park) and Glacier Point Road are closed for the season due to snow. They will both reopen later than usual this summer. Call 209/372-0200 (then 1, 1) for road conditions and tire chain requirements.",2023-03-31 21:23:41.0
Devils Postpile National Monument is closed for the season,"The Reds Meadow Valley Road to Devils Postpile National Monument is closed for the winter. Reds Meadow Road will have a delayed opening due to a large snowpack. There is more snow this year than in 2017, when the road opened on July 21.",2023-03-31 21:20:50.0
"Bates Well Road to the Cabeza Prieta Boundary, and Pozo Nuevo Road Temporarily Closed","Bates Well Road will be closed starting April 4, 2023 from the intersection of Growler Wash, extending west to the Cabeza Prieta boundary of the Cabeza Prieta National Wildlife Refuge, and Pozo Nuevo beginning north of the North Puerto Blanco junction.",2023-03-31 18:19:37.0
South Puerto Blanco Road Open; West and East Border Roads closed for public safety,The border roads (the dirt roads directly along the border) remain closed to all public vehicle and pedestrian traffic for public safety.,2023-03-31 17:50:49.0
Lowndes Interpretative Center Closed as of 3/23/23,"Due to a water main break, the Lowndes Interpretive Center is closed as of March 23, 2023. This center will remain closed until at least Wednesday, April 12, 2023. The Selma and Montgomery Interpretive Centers are open during normal operating hours.",2023-03-31 15:05:25.0
Walk Through the Ruins Trail improvements.,"The Walk Through the Ruins Trail is being improved as the Path of the Flood Trail is being built in the lakebed. While it remains open, it is an active project and may briefly close for short periods of time. Portions are the trail are very wet and muddy.",2023-03-31 14:31:45.0
Western Gulls Nesting on Anacapa Island From April Through Mid-August,"During this time, visitors will encounter seabird rookery conditions: guano, strong odor, constant noise, bird carcasses, and birds protecting their territory. If visitors consider these conditions adverse, it is advised that they visit another island.",2023-03-31 14:30:36.0
Katherine Landing Boat Fuel Access Changes,"Due to a modernization project, only land-based fuel is currently available at Katherine Landing for boats. Dock based fuel should be available again by Mid-April 2023.",2023-03-31 11:53:16.0
Avoid flash floods,"Flash floods are a sudden increase in the depth and speed of water in rivers, streams, or washes due to rain. Flood waters carry large debris like tree trunks and boulders and can happen at any time in Zion.",2023-03-31 11:48:48.0
The Visitor Center is closed due to construction projects.,"The NPS is imposing a temporary closure to the Great Falls Visitor Center until further notice due to needed construction projects. VC restrooms open 9:30A-5:30P, overlooks/trails & Port-a-potties at Old Carriage Road Trail open until park closed at dark.",2023-03-31 11:21:13.0
"Mask Status in Park Buildings – Masks OPTIONAL– Week of March 31 - April 7, 2023","The NPS has updated its mask guidance to align with the CDC’s COVID-19 Community Levels tool. Each Friday, the park will update the mask status for the upcoming week. This park spans 2 counties and will follow guidance for the county with higher levels.",2023-03-31 08:31:53.0
"Mask Status in Park Buildings – Masks OPTIONAL– Week of March 31 - April 7, 2023","The NPS has updated its masking guidance to align with the CDC’s new COVID-19 Community Levels tool, which helps communities decide what prevention steps to take. Each Friday, the park will update the mask status here for the upcoming week.",2023-03-31 08:30:12.0
2023 Train Schedule and Tickets,"Steamtown NHS train rides resume for the season on Thursday, May 11, 2023.",2023-03-31 08:21:45.0
Diablo Lake Boat Launch Inaccessible to Powerboats,"Due to silt accumulation, the Diablo Lake boat launch at Colonial Creek South Campground is not usable for launching most powerboats. Expect shallow or no water at the launch ramp and the possibility of needing to carry your boat to or from the water.",2023-03-30 18:30:13.0
Water and Bathrooms at the West Entrance Station,Park rangers are working on the water filling station and the bathrooms at the West Entrance. Both the drinking water and bathrooms may be unavailable. Bring plenty of water with you before entering the park.,2023-03-30 18:28:18.0
North Fork and South Fork Areas May Be Inaccessible Due to Flooding From Winter Storms,"Flooding, debris slides, and landslides from winter have caused damage along roads leading to two remote areas in the foothills of Sequoia National Park. Roads to these areas may be closed, impassable, or difficult to navigate during any storm.",2023-03-30 18:02:35.0
Deer and elk along Highway 50,"Due to the heavy snows this winter there are a lot of deer & elk along the highways. Many are being hit by vehicles. This week alone, 5 deer & elk are being hit daily. Slow down & be careful on roadways. Report vehicle & wildlife collisions - 970-641-2337",2023-03-30 17:56:43.0
Climbers Be Aware of Nesting Falcons,Climbers be advised that falcon nesting season is upon us. Presently there are no formal closures. Please check back for updates. Report any nests and avoid disturbances to said nests: deto_interpretation@nps.gov & 307-467-5283x637,2023-03-30 17:41:47.0
"Bandelier access by shuttle only 9 am to 3 pm mid May - mid October, 2023","Access to Bandelier National Monument and the Frijoles Canyon Visitor Center, Pueblo Loop Trail, and Falls Trail is by shuttle bus only, mid-May - mid-October, from 9am to 3pm 7 days a week.",2023-03-30 16:09:22.0
"Warning Siren Test at Trego Dam, Trego, WI:","The semi-annual test of the Trego Dam failure warning sirens will be conducted on Monday, April 3, 2023, at 11:00 am. The test will last about 90 seconds. This is conducted by Xcel Energy in coordination with Washington Co., local townships, and NPS.",2023-03-30 14:11:08.0
River Mountain Loop Trail Partial Closure - MM 11-20.5,"The River Mountain Loop will be closed for resurfacing and crack repair from mile marker 11 to approximately mile marker 20.5 from April 3 through July 30, 2023.",2023-03-30 12:25:16.0
"The Phones Lines are Down, Please Email Us","The phone lines for Hagerman Fossils Beds National Monument are currently being repaired. To contact a ranger, please send an email to hafo_information@nps.gov",2023-03-30 12:04:30.0
Road Closures,"The park is open to the Visitor Center & Gunnison Point. The rest of South Rim Road, as well as the East Portal and North Rim Roads, are closed for the season. Due to heavy snowfall this year, roads may open later than normal (late April or early May).",2023-03-30 11:47:08.0
Canyon Mouth Park Closure,Canyon Mouth Park is currently closed for a prescribed burn.,2023-03-30 11:19:13.0
Naval Submarine Base Kings Bay to conduct emergency exercise April 4-6,"Naval Submarine Base Kings Bay will conduct an emergency response exercise on and near the base 4-6 April 2023. Simulations may include gunfire, smoke and announcements as part of training exercises and pose no risk to exercise participants or the public.",2023-03-30 10:04:10.0
Closed Areas,"Beach access ramp and associated parking lot will be closed 3/31-4/1, to allow the mobilization and setup of equipment for sand placement. While the project is underway, there will be no pedestrian or parking access.",2023-03-30 09:55:44.0
Carriage roads closed for mud season,"Effective March 31, carriage roads are closed to all users to protect them during spring thaw, also known as “mud season.” Warmer weather and wet conditions soften the roads and make them susceptible to damage. They will reopen as conditions allow.",2023-03-30 09:50:54.0
Former Golf Course Property,"The former golf course property in Peninsula, including a section of the Valley Trail, is closed during environmental remediation.",2023-03-29 16:27:17.0
Brandywine Falls Safety Alert,"Do not climb the rocks, over the fenced areas, or Brandywine Falls. Please enjoy Brandywine Falls safely by staying at least 50 feet from the top and bottom of the falls. Approaching too close can result in serious injury or death.",2023-03-29 16:26:24.0
Rancho Corral de Tierra - San Vicente Creek Bridge Closed,"Due to recent storm damage, the San Vicente Creek bridge to the Spine Trail near Ember Ridge Equestrian Center is closed to the public.",2023-03-29 15:11:41.0
Jockey Hollow Visitor Center restrooms out of service Monday and Tuesday (April 3 and 4),Visitor Center restrooms will be closed Monday and Tuesday (April 3 and 4) due to needed replacement of water system components. An alternate restroom facility is located at the New York Brigade comfort station in the northern section of Jockey Hollow.,2023-03-29 14:06:05.0
Cave Tour Opening Day Delay,"Due to a heavy snowpack and continuing storm fronts, opening day for cave tours and the Oregon Caves Visitor Center are delayed. Check back at this website mid-April for updates.",2023-03-29 13:47:02.0
Winter Road Conditions,Expect snow and icy road conditions at the monument and preserve.,2023-03-29 13:45:09.0
June 6th Tour Closure,Cave tours will be closed June 6th for staff training. Surface trails will be open.,2023-03-29 13:43:13.0
Closure of the Hurricane Ridge Day Lodge,"From approximately April 2023 to May 2024, the Hurricane Ridge Day Lodge will be closed while it undergoes a major rehabilitation project, funded through the Great American Outdoors Act. Temporary facilities will serve visitors to Hurricane Ridge.",2023-03-29 13:22:29.0
Medano Pass Primitive Road Closed for Winter at Castle Creek Picnic Area,Medano Pass Primitive Road is closed for the winter season at Castle Creek Picnic Area (2.6 miles from the southern entrance of the road). This is a backcountry road that does NOT affect travel to the dunes or main use area of the park.,2023-03-29 11:36:44.0
Pinon Flats Campground Restrooms Closed for Renovations,"Pinon Flats Campground restrooms are closed until further notice. While the restrooms are undergoing renovations, porta-potties and hand-wash stations will be provided. Outside water faucets are available for use.",2023-03-29 11:34:21.0
Visitor Center Closed for Renovations,The visitor center is closed to complete interior renovations. Ranger information and the WNPA park store are available in a temporary building located in the visitor center parking lot.,2023-03-29 11:30:55.0
Old Mine Road Closed,"Old Mine Road south of Millbrook to Worthington State Forest is closed for the season until April 15th, 2023.",2023-03-29 10:39:42.0
Sleeping Bear Point Road Closed,Sleeping Bear Point Road is closed to vehicle and pedestrian traffic until further notice. The road is being repaired from winter damage.,2023-03-29 09:26:49.0
Ocean Beach Fire Season in Effect through October 31,"Fires allowed ONLY in provided fire rings between Stairwells 15 and 20. For more information, check the link below.",2023-03-28 19:06:33.0
Mojave Road 4x4 Route Crossing of Soda Lake CLOSED,"the Soda Lake crossing on Mojave backcountry road is CLOSED due to wet, muddy conditions. drivers could be held financially liable for resource damage and vehicle extraction costs. Use detour via Rasor Rd., Interstate 15, & Kelbaker Rd.",2023-03-28 18:06:44.0
All of Kelbaker Road OPEN; Hole in the Wall requires access via I-40 and Essex Road.,"GPS apps are not updating the Kelbaker Road opening, do not follow GPS, use direct route on Kelbaker Road between Kelso and Baker. Black Canyon Road CLOSED North of Hole in the Wall. Only Essex Rd & I-40 accesses the Hole in the Wall Area",2023-03-28 17:15:25.0
Cima Road CLOSED from Cima to I-15. Do Not Drive on this road,Cima Road is CLOSED from Interstate 15 to Kelso Cima Road until March 2024 due to construction. Please use alternate routes. Teutonia Peak and other Cima Dome attractions are accessible only with expert routefinding on backcountry 4WD only roads.,2023-03-28 17:09:16.0
Outdoor Water Not Available in Campground,"Due to below freezing temperatures, the outdoor spigots in the campground are shut off. Bathrooms are open. A spigot is available behind the visitor center, near stairs to the back porch.",2023-03-28 16:54:03.0
New Parking Measures at Museum and Visitor Center Take Effect on April 1,"New parking measures will take effect at the Museum & Visitor Center on April 1, 2023. These measures are necessary due to the ongoing road construction on Visitor Center Drive from Taneytown Road to the Visitor Center. See attached map for more details.",2023-03-28 15:31:04.0
"Frozen Lake Access Proposal open comment period will be open through May 3, 2023",The park will host public meetings discussing our frozen lake access Preliminary proposal. Park staff will give a presentation and will then be available to answer questions from the public. Click more below for meeting dates and further information.,2023-03-28 15:22:20.0
Grand Canyon-Parashant National Monument is not part of Grand Canyon National Park,Grand Canyon National Park is only part of the 277 mile-long Grand Canyon. GC-Parashant starts on the north rim of the Grand Canyon west of Toroweap and stretches to the Nevada line. Click 'More' for the Grand Canyon National Park website.,2023-03-28 14:53:46.0
Jamestown Island Loop Closed April 1 thru June 15,The Loop Drive on Jamestown Island in Colonial National Historical Park will be CLOSED to vehicles this year from April 1st until June 15th to allow turtles to move safely through their natural wetland habitat. Pedestrians and Bicycles are permitted.,2023-03-28 14:36:30.0
Jamestown Island Loop Closed April 1 thru June 15,The Loop Drive on Jamestown Island in Colonial National Historical Park will be CLOSED to vehicles this year from April 1st until June 15th to allow turtles to move safely through their natural wetland habitat. Pedestrians and Bicycles are permitted.,2023-03-28 14:35:13.0
Looking For A Grand Canyon View? A Warning About Cell Phone Navigation App Directions,"Cell phone map apps are directing people typing in ""Grand Canyon"" into Parashant. Parashant is unpaved for 4x4s vehicles, not cars, minivans, etc. No services or cell phone coverage here. See nps.gov/grca for roads to paved Grand Canyon viewpoints.",2023-03-28 14:34:49.0
Dump Station Closed,"Due to a large water main break, the RV dump station in Twin Peaks Campground is currently closed until further notice.",2023-03-28 11:52:13.0
Akers Ferry-State Highway K- CLOSED until further notice,CLOSED until further notice,2023-03-28 09:20:56.0
Visitor Contact Station Closed For Season,"The visitor contact station at Munising Falls is closed for the season. Click ""More"" to buy park passes online. Information/map boards are set up in the Munising Falls parking lot.",2023-03-28 08:23:35.0
Timed Entry Reservation Pilot 2023,"To enter the park from April 1 to October 31, 2023, visitors need a Timed Entry Ticket. We encourage you to reserve yours on Recreation.gov up to three months prior to visiting. Extra tickets become available for day-before purchase.",2023-03-27 16:01:13.0
Backcountry Office Temporarily CLOSED,"The Backcountry Office in the park is temporarily closed. Permits to camp in the backcountry are still required and are available via a self-service station at the same location. For winter camping questions, please call (541)594-3100. Plan and be safe!",2023-03-27 14:52:18.0
Vegetation Pile Burns Possible,"When weather permits, we may burn vegetation piles near park roads. Burns are being completed in order to consume existing woody and herbaceous material from exotic plant management projects in the park.",2023-03-27 11:49:00.0
Vegetation Pile Burning Possible,"When weather permits, we may burn vegetation piles near park roads. Burns are being completed in order to consume existing woody and herbaceous material from exotic plant management projects in the park.",2023-03-27 11:44:57.0
Partial Trail Closures Due to Ice and Snow,The Headland Trail is open to Atsinna Pueblo and across the mesa top. The north side of the trail remains closed due to icy conditions. The Inscription Loop Trail is open to Marker #16.,2023-03-27 11:01:15.0
South River & Dundo Picnic Grounds and Campground Water Alert,Water testing at South River and Dundo Picnic Grounds and Dundo Campground shows water may contain microbial contamination. Water should NOT be consumed or used for washing dishes and hands without boiling it first.,2023-03-27 10:39:21.0
Thornton Gap Entrance Station,"Due to damage caused by a vehicle fire, cash cannot currently be accepted at this entrance station. Credit, debit, and electronic payments only. Vehicles over 11 feet tall will need to stop for assistance and/or be careful to follow signage.",2023-03-27 10:38:11.0
Lock 29 Overflow Parking,"Lock 29 Overflow Parking off Mill Street West in Peninsula is closed from March 24, 2023 to December 31, 2023.",2023-03-27 08:28:22.0
Road Conditions (3/26/23),"CR 7950 and Highway 57 have dried out after the steady rains last week, making both roads passable. Continue to use caution when entering and exiting the park. Please call the visitor center (505-786-7014) for any recent changes to road conditions.",2023-03-26 17:25:56.0
Park Closed Tuesdays and Wednesdays,"The visitor center and all park trails are closed on Tuesdays and Wednesdays. Open Thursday through Monday, from 9 am - 5 pm. Hiking park trails is not permitted when the park is closed.",2023-03-26 14:46:02.0
Restroom Closures,"The restrooms at the campground and picnic area will be closed in stages during renovation. The project will run from 3/27 to 4/30/23. Portable toilets are available, and one restroom will remain open while the other is being worked on.",2023-03-26 12:02:04.0
All Entrances to Sequoia and Kings Canyon National Parks Are Closed,"All roads are closed due to significant storm damage. Kings Canyon National Park is projected to reopen in mid-April. The Foothills area of Sequoia National Park is projected to open in mid-April, and the Giant Forest in late May via Highway 180",2023-03-25 16:56:47.0
Prince William Forest RV Campground will be closed until July 2023,"Due to infrastructure improvements, the concession operated RV campground off of Hwy 234 will be closed until July 2023.",2023-03-25 15:51:13.0
Mesa Verde Closures,"While much of the park is open, Mesa Verde has several safety and project-related closures in place, including the Wetherill Mesa Road, the Chapin Mesa Museum, and Spruce Tree House. Follow the link for more information.",2023-03-25 13:29:17.0
Mariposa Grove is closed,Mariposa Grove remains temporarily closed to all entry due to storm damage.,2023-03-24 20:21:03.0
NPS 300 Road Conditions,"NPS 300 to Big Tubes is currently rutted, icy, and muddy in many places. High clearance is highly recommended and four-wheel drive is likely required. We do not recommend travel on this road or on Co Rd 42 while snow persists or while snow melts.",2023-03-24 16:09:58.0
General Operating Hours Udate,"Due to staffing, the site will continue with its Wednesday through Sunday, 9 a.m. to 4 p.m. schedule until further notice. On days with limited staffing, Homestead tours may be offered at 11:30 and 2:30 with the Visitor Center closed during tour times.",2023-03-24 15:53:56.0
2023 Firefly Viewing Event Dates and Information,The 2023 Firefly Viewing Event will take place from May 13-16 and May 19-24. Please see our event information page for details on entering the lottery for an event pass.,2023-03-24 12:46:50.0
Be aware of changing beach conditions,Beach conditions can change without warning. Check current tide charts and weather forecasts before traveling on the beach.,2023-03-24 11:16:09.0
4-wheel drive required for beach driving,4-wheel drive is required for driving on North and South Beach.,2023-03-24 11:11:47.0
Big Bend Spring = Full Campgrounds,"March is the busiest time of the year in Big Bend. Please plan ahead and do NOT travel all the way to Big Bend without camping/lodging arrangements. Be prepared for full parking and busy facilities. Select ""more"" below for further details.",2023-03-24 10:31:00.0
Signal Hill Picnic Area upcoming closure (Tucson Mountain District),Signal Hill Picnic Area will be closed to all traffic during construction to improve accessibility. The project is expected to begin in late April and take 4-6 months. Signal Hill itself will remain accessible by foot.,2023-03-23 14:21:05.0
SEASONAL SAFETY MESSAGE,"Be careful and safe while out in the canyon! Be cautious of your surroundings, don't cliff jump, don't stray off of the main trails, and don't get too close to Little River Falls or the canyon rim. These activities could result in injury or death.",2023-03-23 14:16:55.0
Accessibility lifts and elevator inoperable,"At this time, accessibility lifts and interior elevator at the birth house are inoperable. We are looking to fix them as soon as possible. Check this site for further information or updates.",2023-03-23 10:12:01.0
Fort Davis NHS is a NO DRONE Zone!,The use of drones is prohibited at Fort Davis National Historic Site. Thank you for preserving the cultural landscape.,2023-03-23 09:28:51.0
Fort Davis NHS is in the Central Time Zone,Fort Davis National Historic Site is located in the Central Time Zone. The park is open 8:00 am until 5:00 pm (Central Time). The Visitor Center closes at 4:30pm. The Main Gate locks at 5:00pm.,2023-03-23 09:28:40.0
"Ajo Mountain Drive to close April 3, 2023 through end of month","Ajo Mountain Drive, a 21-mile one-way road will close on April 3, 2023 through the end of the month to finish a road improvement project that began last fall. This multi-phased project will improve the visitor use and experience of the road.",2023-03-22 19:27:44.0
49 Palms Trail Temporarily Closed,"The 49 Palms Trail will be temporarily closed for maintenance from January 9, 2023 to late April 2023. This closure will begin each week on Sunday at 10 pm and last until Thursday at 4 pm. The trail will be open to hikers Friday through Sunday.",2023-03-22 17:50:29.0
COVID-19 Transmission Levels,"Check on COVID transimission levels in San Bernardino & Riverside County before you visit. Masks may be required inside of visitor centers regardless of vaccination status, consistent with CDC guidance regarding areas of substantial or high transmission.",2023-03-22 17:49:58.0
Avalanche risk for oversnow visitors on Kolob Terrace Road at and near Black Canyon,"Oversnow visitors such as snowshoers or skiers, or drivers of snowcats or snowmobiles, should be aware of the possibility of avalanche at and near Black Canyon. Learn more about seasonal changes to visits at Zion.",2023-03-22 17:45:55.0
Winter Trail Closures,The entire Navajo Loop and the 1.5-mile section of Rim Trail between Inspiration and Bryce Points are both currently closed. All other frontcountry trails remain open for hiking.,2023-03-22 14:48:25.0
Evans Campground,Evans campground and group site will be open April - July. It will close August 1st to complete work on the seawall.,2023-03-22 12:14:38.0
Safety Alert: Santa Elena Canyon Trail,"Depending upon recent rains, Terlingua Creek may be dry sand, thick mud, or flowing water. Carefully assess conditions before attempting to cross. Follow trail signs for the correct crossing location. Do NOT Cross at other locations.",2023-03-21 17:44:45.0
"Wet Creek Crossing at Canada Del Puerto, Prisoner's Harbor and Water Canyon, Santa Rosa Island","During winter and spring, visitors need to be prepared for a wet creek crossing at Canada del Puerto in Prisoner's Harbor. The footbridge at Water Canyon on Santa Rosa Island has washed out and currently requires a wet creek crossing as well.",2023-03-21 15:37:22.0
Parking lot repair and gate closure,"Beginning Wednesday, March 22, 2023, repair work to the parking lot will require closing the driveway gate to the accessible parking spaces at the top of the Ranch HQ hill for upwards of six weeks as the newly poured concrete cures.",2023-03-21 14:50:35.0
"Current Mask Policy in Visitor Center - week of March 19, 2023","Consistent with CDC guidance regarding areas at a LOW COVID-19 community level, masks are OPTIONAL for visitors to Little Rock Central High School NHS, regardless of vaccination status, inside all park buildings.",2023-03-21 13:35:30.0
2023 Washington Monument & Old Post Office Tower,"Planned closures for maintenance work monthly: Thu, Apr. 6; Tue, May 2; Mon, Jun. 5; Fri, Jul. 7; Thu, Aug. 3; Tue, Sept. 5; Mon, Oct. 2; Fri, Nov. 3; Tue, Dec 5. We are also closed on the Christmas Day Holiday.",2023-03-21 10:03:28.0
Mauna Loa Trail Closed Above Red Hill Cabin,"Mauna Loa Trail, the summit cabin and wilderness area above Red Hill Cabin remain closed due to hazards from the recent eruption. Red Hill Cabin is open and requires a permit for overnight use.",2023-03-20 21:30:42.0
Offseason Reminder,"At this time of year, the visitor center and park trails are entirely closed on Tuesdays and Wednesdays. Please plan accordingly.",2023-03-20 20:35:27.0
"Hurricane Ridge Closed for Construction March 27 through May 25, 2023.","As a major rehabilitation of the Hurricane Ridge Day Lodge begins, Hurricane Ridge and Hurricane Ridge Road will be closed to vehicle, bicycle, and foot traffic for visitors' safety. Hurricane Ridge will reopen for Memorial Day weekend.",2023-03-20 15:46:28.0
