Park Name,Description,Entrance Fees,Directions,Operating Hours,Address
Manzanar National Historic Site,"In 1942, the United States government ordered more than 110,000 men, women, and children to leave their homes and detained them in remote, military-style camps. Manzanar War Relocation Center was one of ten camps where the US government incarcerated Japanese immigrants ineligible for citizenship and Japanese American citizens during World War II.","[{'cost': '0.00', 'description': 'There is no fee to enter Manzanar National Historic Site. Enjoy your visit!', 'title': 'Entrance Fees'}]","Manzanar is located on the west side of U.S. Highway 395, 9 miles north of Lone Pine, California and 6 miles south of Independence, CA.","[{'exceptions': [], 'description': 'The driving tour and grounds remain open daily from sunrise to sunset. See visitor center hours for more information on building access.', 'standardHours': {'wednesday': 'Sunrise to Sunset', 'monday': 'Sunrise to Sunset', 'thursday': 'Sunrise to Sunset', 'sunday': 'Sunrise to Sunset', 'tuesday': 'Sunrise to Sunset', 'friday': 'Sunrise to Sunset', 'saturday': 'Sunrise to Sunset'}, 'name': 'Site Grounds'}]","[{'postalCode': '93526', 'city': 'Independence', 'stateCode': 'CA', 'line1': 'Manzanar National Historic Site', 'type': 'Physical', 'line3': '5001 Highway 395', 'line2': ''}, {'postalCode': '93526', 'city': 'Independence', 'stateCode': 'CA', 'line1': 'Manzanar National Historic Site', 'type': 'Mailing', 'line3': '5001 Highway 395', 'line2': 'P.O. Box 426'}]"
Marsh - Billings - Rockefeller National Historical Park,"Experience wintry conditions and bracing temperatures along both groomed cross-country ski trails and natural snowshoe trails in the folded hilly landscape of the park. Reflect on the story of stewardship, of people taking care of places – sharing an enduring connection to the land - as you observe the tall trees, wildlife and experience the peacefulness of the woods.","[{'cost': '0.00', 'description': 'Tour and program fees may apply.', 'title': 'Entrance is Free'}]","Parking is at the Billings Farm & Museum Overflow Parking lot. If using a GPS, please enter ""69 Old River Rd, Woodstock, VT 05091"". If you'd like to watch the park film, begin your visit at the Billings Farm & Museum Visitor Center. To enter the National Park, take the paved path to the right of the Billings Farm & Museum Visitor Center, walk up and cross the street, and then take the left fork to reach the Marsh-Billings-Rockefeller National Historical Park Carriage Barn Visitor Center.","[{'exceptions': [], 'description': ""The park's 20 miles of trails & carriage roads are open dawn till dusk for hiking & equestrian use. The Visitor Center is open 10am-5pm starting Memorial Day Weekend, and will remain open daily until October 31."", 'standardHours': {'wednesday': 'Sunrise to Sunset', 'monday': 'Sunrise to Sunset', 'thursday': 'Sunrise to Sunset', 'sunday': 'Sunrise to Sunset', 'tuesday': 'Sunrise to Sunset', 'friday': 'Sunrise to Sunset', 'saturday': 'Sunrise to Sunset'}, 'name': 'Marsh-Billing-Rockefeller NHP'}]","[{'postalCode': '05091', 'city': 'Woodstock', 'stateCode': 'VT', 'line1': 'Billings Farm & Museum Parking Lot', 'type': 'Physical', 'line3': '', 'line2': '69 Old River Rd'}, {'postalCode': '05091', 'city': 'Woodstock', 'stateCode': 'VT', 'line1': '54 Elm Street', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
"Martin Luther King, Jr. Memorial","Located in downtown Washington, DC, the memorial honors Martin Luther King, Jr.'s legacy and the struggle for freedom, equality, and justice. A prominent leader in the modern civil rights movement, Dr. King was a tireless advocate for racial equality, working class, and the oppressed around the world.","[{'cost': '0.00', 'description': 'No Entrance Fee', 'title': 'No Entrance Fee'}]","GPS Coordinates: 38.886298, -77.044415 GPS navigation: 1850 West Basin Drive SW, Washington, D.C. 20024 Nearest Intersection: West Basin Drive SW & Independence Ave. SW","[{'exceptions': [], 'description': 'The sites of National Mall and Memorial Parks (other than the Washington Monument) are always open to the public. Restrooms, museums and elevators close in the evenings (check individual sites for hours)', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Always Open'}, {'exceptions': [], 'description': 'Rangers are on duty to assist the visiting public from 9:30 am to 10:00 pm daily (except December 25). The US Park Police are on duty 24 hours a day.', 'standardHours': {'wednesday': '9:30AM - 10:00PM', 'monday': '9:30AM - 10:00PM', 'thursday': '9:30AM - 10:00PM', 'sunday': '9:30AM - 10:00PM', 'tuesday': '9:30AM - 10:00PM', 'friday': '9:30AM - 10:00PM', 'saturday': '9:30AM - 10:00PM'}, 'name': 'Rangers on Duty'}]","[{'postalCode': '20024', 'city': 'Washington', 'stateCode': 'DC', 'line1': '1850 West Basin Drive SW', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '20242', 'city': 'Washington', 'stateCode': 'DC', 'line1': '1100 Ohio Drive SW', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
"Martin Luther King, Jr. National Historical Park","A young boy grows up in a time of segregation…A dreamer is moved by destiny into leadership of the modern civil rights movement…This was Martin Luther King, Jr. Come hear his story, visit the home of his birth, and where he played as a child. Walk in his footsteps, and hear his voice in the church where he moved hearts and minds. Marvel at how he was an instrument for social change.","[{'cost': '0.00', 'description': 'There is no entrance fee to enter Martin Luther King, Jr. National Historical Park. Enjoy your visit!', 'title': 'NO ADDMISSION FEE'}]",The park is accessible via public transportation and by car.,"[{'exceptions': [{'exceptionHours': {}, 'startDate': '2023-11-24', 'name': 'Thanksgiving Day', 'endDate': '2023-11-24'}, {'exceptionHours': {}, 'startDate': '2023-12-25', 'name': 'Christmas Holiday', 'endDate': '2023-12-25'}, {'exceptionHours': {}, 'startDate': '2024-01-01', 'name': ""New Year's Day"", 'endDate': '2024-01-01'}], 'description': 'Access to buildings at the Martin Luther King, Jr. National Historical Park is as follows:\n\nOpen: Monday – Saturday, 9:00am – 5:00pm\n\nVisitor Center \nHistoric Ebenezer Baptist Church \n\nBirth Home – Tours conducted between 10:00am – 4:00pm according to staffing levels, 10 persons allowed on a tour.\n\nFire Station No. 6 – Opened with staff availability.\n\nClosed: Sunday', 'standardHours': {'wednesday': '9:00AM - 5:00PM', 'monday': '9:00AM - 5:00PM', 'thursday': '9:00AM - 5:00PM', 'sunday': 'Closed', 'tuesday': '9:00AM - 5:00PM', 'friday': '9:00AM - 5:00PM', 'saturday': '9:00AM - 5:00PM'}, 'name': 'Martin Luther King, Jr. National Historical Park'}]","[{'postalCode': '30312', 'city': 'Atlanta', 'stateCode': 'GA', 'line1': '450 Auburn Avenue, NE', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '30312', 'city': 'Atlanta', 'stateCode': 'GA', 'line1': '450 Auburn Avenue, NE', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
Martin Van Buren National Historic Site,"Today, Martin Van Buren is an obscure man, often little more than a footnote. In pre-Civil War America, however, it was impossible not to have an opinion of him. Van Buren was central to the creation of America's political parties, and to the largest crisis of his time, slavery. The above quote is from Davy Crockett, one of many Americans trying to understand the Red Fox of Kinderhook.","[{'cost': '0.00', 'description': ""There is no entrance fee to explore Martin Van Buren National Historic Site or take a tour of the president's home."", 'title': 'No Entrance Fee'}]",The park entrance road is located off of route 9H about two miles south of Kinderhook Village. GPS Coordinates: 42° 22' 52'' N -73° 42' 13'' W,"[{'exceptions': [], 'description': ""Park grounds are open year round from 7:00 am to sunset. Visitor facilities and guided tours of the president's home are available on a seasonal basis. Please check our Operating Hours & Seasons page for our current facility hours."", 'standardHours': {'wednesday': '7:00AM - Sunset', 'monday': '7:00PM - Sunset', 'thursday': '7:00AM - Sunset', 'sunday': '7:00AM - Sunset', 'tuesday': '7:00AM - Sunset', 'friday': '7:00AM - Sunset', 'saturday': '7:00AM - Sunset'}, 'name': 'Martin Van Buren National Historic Site'}]","[{'postalCode': '12106-3605', 'city': 'Kinderhook', 'stateCode': 'NY', 'line1': 'Martin Van Buren NHS', 'type': 'Physical', 'line3': '', 'line2': '1013 Old Post Road'}, {'postalCode': '12106-3605', 'city': 'Kinderhook', 'stateCode': 'NY', 'line1': 'Martin Van Buren NHS', 'type': 'Mailing', 'line3': '', 'line2': '1013 Old Post Road'}]"
Mary McLeod Bethune Council House National Historic Site,"Mary McLeod Bethune achieved her greatest recognition at the Washington, DC townhouse that is now this National Historic Site. The Council House was the first headquarters of the National Council of Negro Women (NCNW) and was Bethune’s last home in Washington, DC. From here, Bethune and the NCNW spearheaded strategies and developed programs that advanced the interests of African American women.","[{'cost': '0.00', 'description': 'No Fee Required', 'title': 'No Fee Required'}]",From Baltimore and Points North: Take the Baltimore-Washington Parkway south to US Route 50 west (which becomes New York Avenue). Take New York Avenue to Massachusetts Avenue and continue west. Turn right onto 13th Street. Go one block and turn left onto 'N' Street. Go another block and turn right onto Vermont Avenue. 1318 is one half block up the street on the left. Street parking is limited and restricted. Please read the street signs carefully.,"[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-11-24', 'name': 'Thanksgiving Day', 'endDate': '2023-11-24'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-12-25', 'name': 'Christmas Day', 'endDate': '2023-12-25'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2024-01-01', 'name': ""New Year's Day"", 'endDate': '2024-01-01'}], 'description': 'The Mary McLeod Bethune Council House National Historic Site is open for tours on Thursdays, Fridays, and Saturdays. Visiting the site on other days of the week (Sunday, Monday, Tuesday, Wednesday) is available by appointment only. To request a tour outside of the listed hours, please contact us by email (bethunenhs@nps.gov) or phone (202-673-2402). (Scheduling is dependent upon staff availability)', 'standardHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': '9:30AM - 4:30PM', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': '9:30AM - 4:30PM', 'saturday': '9:30AM - 4:30PM'}, 'name': 'Mary McLeod Bethune Council House National Historic Site'}]","[{'postalCode': '20005', 'city': 'Washington', 'stateCode': 'DC', 'line1': '1318 Vermont Avenue NW', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '20005', 'city': 'Washington', 'stateCode': 'DC', 'line1': 'Mary McLeod Bethune Council House National Historic Site', 'type': 'Mailing', 'line3': '', 'line2': '1318 Vermont Avenue NW'}]"
Medgar and Myrlie Evers Home National Monument,"Medgar and Myrlie Evers were partners in the civil rights struggle. The assassination of Medgar Evers in the carport of their home on June 12, 1963, was the first murder of a nationally significant leader of the American Civil Rights Movement, and it became a catalyst for passage of the Civil Rights Act of 1964. Myrlie Evers continued to promote issues of racial equality and social justice.","[{'cost': '0.00', 'description': 'There are no fees associated with Medgar and Myrlie Evers Home National Monument.\n\nMississippi Civil Rights Museum does charge an admission fee to view exhibits.', 'title': 'Park Entrance Fee'}]","The national monument is located in Jackson, Mississippi, off Medgar Evers Blvd., approximately 1.5 miles southeast of I-220. If you wish to collect an NPS passport cancellation stamp, visit Mississippi Civil Rights Museum at 222 North Street, less than 5 miles drive from the national monument.","[{'exceptions': [{'exceptionHours': {}, 'startDate': '2021-10-19', 'name': 'Closed Until Further Notice', 'endDate': '2022-09-30'}], 'description': 'The Medgar and Myrlie Evers Home is currently closed to the general public. It was previously open by appointment only through Tougaloo College. The National Park Service is working to develop an approach for visitor access and house tours.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Medgar and Myrlie Evers Home'}]","[{'postalCode': '39213', 'city': 'Jackson', 'stateCode': 'MS', 'line1': '2332 Margaret Walker Alexander Drive', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '39201', 'city': 'Jackson', 'stateCode': 'MS', 'line1': '222 North Street #2205', 'type': 'Mailing', 'line3': '', 'line2': 'Medgar and Myrlie Evers Home National Monument'}]"
Mesa Verde National Park,"For over 700 years, the Ancestral Pueblo people built thriving communities on the mesas and in the cliffs of Mesa Verde. Today, the park protects the rich cultural heritage of 26 Pueblos and Tribes and offers visitors a spectacular window into the past. This World Heritage Site and International Dark Sky Park is home to over a thousand species, including several that live nowhere else on earth.","[{'cost': '30.00', 'description': 'This is a per-vehicle entrance fee for the summer season (May 1 to October 22). It is valid for seven days from the day of purchase.\n\nPlease note that we offer fee waivers for qualified education groups. Visit http://www.nps.gov/meve/learn/education/feewaiver_info.htm to learn more.', 'title': 'Mesa Verde Entrance Fee - Per Vehicle - Summer Season'}, {'cost': '25.00', 'description': 'This is a per-motorcycle entrance fee for the summer season (May 1 to October 22). It is valid for seven days from the day of purchase.', 'title': 'Mesa Verde Entrance Fee - Per Motorcycle - Summer Season'}, {'cost': '15.00', 'description': 'This is a per-person (bicyclist and individual) entrance fee for the summer season (May 1 to October 22). It is valid for seven days from the day of purchase.', 'title': 'Mesa Verde Entrance Fee - Per Person - Summer Season'}, {'cost': '20.00', 'description': 'This is a per-vehicle entrance fee for fall/winter/spring (January 2 to April 30 and October 23 to December 31). It is valid for seven days from the day of purchase.\n\nPlease note that we offer fee waivers for qualified education groups. Visit http://www.nps.gov/meve/learn/education/feewaiver_info.htm to learn more.', 'title': 'Mesa Verde Entrance Fee - Per Vehicle - Fall/Winter/Spring'}, {'cost': '15.00', 'description': 'This is a per-vehicle entrance fee for fall/winter/spring (January 2 to April 30 and October 23 to December 31). It is valid for seven days from the day of purchase.', 'title': 'Mesa Verde Entrance Fee - Per Motorcycle - Fall/Winter/Spring'}, {'cost': '10.00', 'description': 'This is a per-person (bicyclist and individual) entrance fee for fall/winter/spring (January 2 to April 30 and October 23 to December 31). It is valid for seven days from the day of purchase.', 'title': 'Mesa Verde Entrance Fee - Per Person - Fall/Winter/Spring'}]","Mesa Verde National Park is in Southwestern Colorado. The park entrance is along Highway 160, between the towns of Cortez and Mancos, Colorado. It is located 10 miles east of Cortez, 9 miles west of Mancos, and about 35 miles west of Durango, Colorado. Once you enter the park, the first view of a cliff dwelling is 21 miles (approximately 45 minutes) along a steep, narrow, and winding road.","[{'exceptions': [{'exceptionHours': {}, 'startDate': '2023-11-24', 'name': 'Thanksgiving Day - The park is open but all facilities are closed.', 'endDate': '2023-11-24'}, {'exceptionHours': {}, 'startDate': '2023-12-25', 'name': 'Christmas Day - The park is open but all facilities are closed.', 'endDate': '2023-12-25'}, {'exceptionHours': {}, 'startDate': '2024-01-01', 'name': 'New Years Day - The park is open but all facilities are closed.', 'endDate': '2024-01-01'}], 'description': 'The park is always open, except under emergency conditions. Sites, picnic areas, and most trails are open 8 am to sunset. \n\nMost cliff dwellings can only be visited on a ticketed tour with a ranger. Tours will be offered May 1 through October 22, 2022. Tickets are required and are available online 14 days in advance of tour date. Buy tickets on www.recreation.gov.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Mesa Verde National Park Hours'}]","[{'postalCode': '81330', 'city': 'Mesa Verde National Park', 'stateCode': 'CO', 'line1': 'Mile .7 Headquarters Loop Road', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '81330', 'city': 'Mesa Verde National Park', 'stateCode': 'CO', 'line1': 'PO Box 8', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
Mill Springs Battlefield National Monument,The Union won a significant victory early in the Civil War at The Battle of Mill Springs. Explore the rolling fields of Kentucky where the battle took place and learn about that state's strategic importance to both sides of the fight.,"[{'cost': '0.00', 'description': 'There are no fees associated with visiting the Mill Springs Battlefield National Monument.', 'title': 'Entrance Fees'}]","The address of the Visitor Center and Museum is 9020 West Highway 80, Nancy, Kentucky 42544. The Visitor Center and Museum is located approximately eight miles west of Somerset, Kentucky along KY-80. Next door is the Mill Springs National Cemetery. Zollicoffer Park (Core Battlefield) is one mile due south of the Visitor Center along KY-235. From the Visitor Center, turn right onto KY-80 W head 0.3 of a mile. Turn left onto State Hwy 235 go 1 mile, Zollicoffer Park will be on your left.","[{'exceptions': [{'exceptionHours': {}, 'startDate': '2023-11-24', 'name': 'Thanksgiving Day', 'endDate': '2023-11-24'}, {'exceptionHours': {}, 'startDate': '2023-12-25', 'name': 'Christmas Day', 'endDate': '2023-12-25'}, {'exceptionHours': {}, 'startDate': '2024-01-01', 'name': ""New Year's Day"", 'endDate': '2024-01-01'}], 'description': 'The Visitor Center is open Wednesday through Sunday, 10:00 am to 4:00 pm and is closed Monday and Tuesdays. The grounds and driving tour are open from dawn till dusk, seven days per week. When the Visitor Center is closed passport stamps with current date and driving tour guides are available outside to the left of the front door.', 'standardHours': {'wednesday': '10:00AM - 4:00PM', 'monday': 'Closed', 'thursday': '10:00AM - 4:00PM', 'sunday': '10:00AM - 4:00PM', 'tuesday': 'Closed', 'friday': '10:00AM - 4:00PM', 'saturday': '10:00AM - 4:00PM'}, 'name': 'Mill Springs Battlefield National Monument'}]","[{'postalCode': '42544', 'city': 'Nancy', 'stateCode': 'KY', 'line1': 'Mill Springs Battlefield National Monument', 'type': 'Physical', 'line3': '', 'line2': '9020 West Highway 80'}, {'postalCode': '42544', 'city': 'Nancy', 'stateCode': 'KY', 'line1': 'Mill Springs Battlefield National Monument', 'type': 'Mailing', 'line3': '', 'line2': '9020 West Highway 80'}]"
Minidoka National Historic Site,"The Pearl Harbor attack intensified existing hostility towards Japanese Americans. As wartime hysteria mounted, President Roosevelt signed Executive Order 9066. Over 120,000 persons of Japanese ancestry (Nikkei) had to leave their homes, jobs, and lives behind, and were forced into one of ten prison camps spread across the nation. This is Minidoka's story.","[{'cost': '0.00', 'description': 'No fees are charged for visiting the site.', 'title': 'Minidoka Entrance Fee'}]","Minidoka National Historic Site is located between the towns of Twin Falls and Jerome, Idaho in south central Idaho.","[{'exceptions': [], 'description': 'The Historic Site is open daily during daylight hours year-round for self-guided tours. Visitor center hours and ranger program offerings vary seasonally.', 'standardHours': {'wednesday': 'Sunrise to Sunset', 'monday': 'Sunrise to Sunset', 'thursday': 'Sunrise to Sunset', 'sunday': 'Sunrise to Sunset', 'tuesday': 'Sunrise to Sunset', 'friday': 'Sunrise to Sunset', 'saturday': 'Sunrise to Sunset'}, 'name': 'Minidoka National Historic Site'}]","[{'postalCode': '83338', 'city': 'Jerome', 'stateCode': 'ID', 'line1': '1428 Hunt Road', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '83338', 'city': 'Jerome', 'stateCode': 'ID', 'line1': '1428 Hunt Road', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
Minute Man National Historical Park,"At Minute Man National Historical Park the opening battle of the Revolution is brought to life as visitors explore the battlefields and structures associated with April 19, 1775, and witness the American revolutionary spirit through the writings of the Concord authors.","[{'cost': '0.00', 'description': 'No fee to visit Minute Man Visitor Center, North Bridge Visitor Center Hartwell Tavern, Whittemore House or park grounds. \n\nThe Wayside: Home of Authors tour fee: Adults $7.00 Seniors and Students with ID $5.00. Children under 17 free.', 'title': 'Minute Man Fees'}]","Minute Man National Historical Park is located just off of I-95, exit 46B (old exit 30B), Rt 2A west, starting in Lexington, then west through Lincoln and into Concord.","[{'exceptions': [], 'description': 'The grounds of Minute Man National Historical Park are open daily, sunrise to sunset. Parking lot gates close at sunset.', 'standardHours': {'wednesday': 'Sunrise to Sunset', 'monday': 'Sunrise to Sunset', 'thursday': 'Sunrise to Sunset', 'sunday': 'Sunrise to Sunset', 'tuesday': 'Sunrise to Sunset', 'friday': 'Sunrise to Sunset', 'saturday': 'Sunrise to Sunset'}, 'name': 'Minute Man National Historical Park'}]","[{'postalCode': '01773', 'city': 'Lincoln', 'stateCode': 'MA', 'line1': 'Minute Man Visitor Center', 'type': 'Physical', 'line3': '', 'line2': '210 North Great Road'}, {'postalCode': '01742', 'city': 'Concord', 'stateCode': 'MA', 'line1': 'North Bridge / Park Head Quarters', 'type': 'Mailing', 'line3': '', 'line2': '174 Liberty St.'}]"
Minuteman Missile National Historic Site,"During the Cold War, a vast arsenal of nuclear missiles were placed in the Great Plains. Hidden in plain sight, for thirty years 1,000 missiles were kept on constant alert; hundreds remain today. The Minuteman Missile remains an iconic weapon in the American nuclear arsenal. It holds the power to destroy civilization, but is meant as a nuclear deterrent to maintain peace and prevent war.","[{'cost': '0.00', 'description': 'The park does does not charge an entrance fee but does have expanded amenity fees for Delta-01 tours.', 'title': 'Park Entrance Fee'}, {'cost': '12.00', 'description': 'All ranger-led tours of the Delta-01 Launch Control Facility require advanced reservations and an amenity fee. Reservations can be made on-line or by phone at 866-601-5129. Reservations can be made up to 90 days prior to tour date. The forty-five minute ranger-guided tour of the control center at  Delta-01 begins with a walk through of the grounds and topside support building. Visitors then descend via elevator 31 feet underground to the Launch Control Center. Each tour is limited to six participants.', 'title': 'Delta-01 Tour expanded amenity fee - Adult'}, {'cost': '8.00', 'description': 'All ranger-led tours of the Delta-01 Launch Control Facility require advanced reservations and an amenity fee. Reservations can be made on-line or by phone at 866-601-5129. Reservations can be made up to 90 days prior to tour date. The forty-five minute ranger-guided tour of the control center at  Delta-01 begins with a walk through of the grounds and topside support building. Visitors then descend via elevator 31 feet underground to the Launch Control Center. Each tour is limited to six participants.', 'title': 'Delta-01 Tour expanded amenity fee - Youth (ages 6-16)'}]","Minuteman Missile National Historic Site is located at three sites along a fifteen mile stretch of Interstate 90 in western South Dakota. The Visitor Center is located immediately north of I-90, exit 131. The two historic sites which make up the park are four miles (Launch Control Facility Delta-01) and 15 miles (Launch Facility Delta-09) from the Visitor Center. No public transportation systems serve the park.","[{'exceptions': [{'exceptionHours': {'monday': 'Closed', 'sunday': 'Closed'}, 'startDate': '2023-05-30', 'name': 'Memorial Day', 'endDate': '2023-05-30'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-11-24', 'name': 'Thanksgiving Day', 'endDate': '2023-11-24'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2024-01-16', 'name': 'Birthday of Martin Luther King, Jr.', 'endDate': '2024-01-16'}, {'exceptionHours': {'wednesday': '9:00AM - 3:00PM', 'monday': 'Closed', 'thursday': '9:00AM - 3:00PM', 'sunday': 'Closed', 'tuesday': '9:00AM - 3:00PM', 'friday': '9:00AM - 3:00PM', 'saturday': '9:00AM - 3:00PM'}, 'startDate': '2023-07-04', 'name': 'Independence Day', 'endDate': '2023-07-04'}, {'exceptionHours': {'monday': 'Closed', 'sunday': 'Closed'}, 'startDate': '2023-09-04', 'name': 'Labor Day', 'endDate': '2023-09-04'}, {'exceptionHours': {'monday': 'Closed', 'sunday': 'Closed'}, 'startDate': '2023-10-09', 'name': 'Columbus Day', 'endDate': '2023-10-09'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-12-25', 'name': 'Christmas Day', 'endDate': '2023-12-25'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2024-01-01', 'name': ""New Year's Day"", 'endDate': '2024-01-01'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2024-02-19', 'name': ""Washington's Birthday"", 'endDate': '2024-02-19'}], 'description': 'Visitors are invited to go inside the fenced compound and look down into the silo at a Minuteman missile in its historic state, protected by a glass viewing enclosure. A narrated ranger guided tour of Delta-09 is available year-round using your cell phone. Inclement weather may close this site on occasion.', 'standardHours': {'wednesday': '9:00AM - 3:00PM', 'monday': 'Closed', 'thursday': '9:00AM - 3:00PM', 'sunday': 'Closed', 'tuesday': '9:00AM - 3:00PM', 'friday': '9:00AM - 3:00PM', 'saturday': '9:00AM - 3:00PM'}, 'name': 'Delta-09 Missile Silo'}, {'exceptions': [{'exceptionHours': {'monday': 'Closed', 'sunday': 'Closed'}, 'startDate': '2023-05-30', 'name': 'Memorial Day', 'endDate': '2023-05-30'}, {'exceptionHours': {'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed'}, 'startDate': '2023-11-24', 'name': 'Thanksgiving Day', 'endDate': '2023-11-24'}, {'exceptionHours': {'monday': 'Closed'}, 'startDate': '2024-01-16', 'name': 'Birthday of Martin Luther King, Jr.', 'endDate': '2024-01-16'}, {'exceptionHours': {'wednesday': '9:00AM - 3:00PM', 'monday': 'Closed', 'thursday': '9:00AM - 3:00PM', 'sunday': 'Closed', 'tuesday': '9:00AM - 3:00PM', 'friday': '9:00AM - 3:00PM', 'saturday': '9:00AM - 3:00PM'}, 'startDate': '2023-07-04', 'name': 'Independence Day', 'endDate': '2023-07-04'}, {'exceptionHours': {'monday': 'Closed', 'sunday': 'Closed'}, 'startDate': '2023-09-04', 'name': 'Labor Day', 'endDate': '2023-09-04'}, {'exceptionHours': {'monday': 'Closed', 'sunday': 'Closed'}, 'startDate': '2023-10-09', 'name': 'Columbus Day', 'endDate': '2023-10-09'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-12-25', 'name': 'Christmas Day', 'endDate': '2023-12-25'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2024-01-01', 'name': ""New Year's Day"", 'endDate': '2024-01-01'}, {'exceptionHours': {'monday': 'Closed'}, 'startDate': '2024-02-19', 'name': ""Washington's Birthday"", 'endDate': '2024-02-19'}], 'description': 'A narrated ranger guided tour at Delta-01 using your cell phone is available for all visitors that guides you to the front gate of Delta-01. To enter the Delta-01 facility, visitors need to attend a ranger-guided tour. Due to the size of the elevator and the confined space underground, advance reservations are required and tours are limited to 6 visitors at a time. Inclement weather may close this site on occasion.', 'standardHours': {'wednesday': '9:00AM - 3:00PM', 'monday': 'Closed', 'thursday': '9:00AM - 3:00PM', 'sunday': 'Closed', 'tuesday': '9:00AM - 3:00PM', 'friday': '9:00AM - 3:00PM', 'saturday': '9:00AM - 3:00PM'}, 'name': 'Delta-01 Launch Control Facility'}]","[{'postalCode': '57567', 'city': 'Philip', 'stateCode': 'SD', 'line1': '24545 Cottonwood Road', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '57567', 'city': 'Philip', 'stateCode': 'SD', 'line1': '24545 Cottonwood Road', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
