Alert,parkCode,Description,Date,Park Name
Parking Garage at the Visitor Center,adam,"If you need to use the Parking Garage at the Visitor Center, please enter through the far left bay to get your parking ticket. The middle bay has a broken printer and you will not be able to get the appropriate ticket from that bay.",2023-03-01 09:21:58.0,Adams National Historical Park
"Historic Homes Closed, Winter of 2022 to 2023",adam,"Adams National Historical Park is now closed for Guided Tours. The historic homes are anticipated to reopen on May 3, 2023. The Visitor Center is open Monday to Friday, 10 a.m. to 4 p.m. Please call the Visitor Center at 617-770-1175 with any questions",2023-02-03 12:55:07.0,Adams National Historical Park
Masks optional for parks in medium COVID-19 community level areas,adam,Norfolk County is in the MEDIUM (yellow) category for Covid-19 community transmission. Masks are not required in park buildings at this time. Individuals may wear a mask if they are so inclined.,2023-01-19 14:57:38.0,Adams National Historical Park
Old Carriage Trail Bridge,cuva,"Approximately .3 miles from the northern trail entrance, the bridge is closed due to severe erosion of the bank underneath. No detour available. The 1.29 mile connector from the Towpath to the Bike and Hike trail is open.",2023-04-05 15:30:52.0,Cuyahoga Valley National Park
Former Golf Course Property,cuva,"The former golf course property in Peninsula, including a section of the Valley Trail, is closed during environmental remediation.",2023-03-29 16:27:17.0,Cuyahoga Valley National Park
Brandywine Falls Safety Alert,cuva,"Do not climb the rocks, over the fenced areas, or Brandywine Falls. Please enjoy Brandywine Falls safely by staying at least 50 feet from the top and bottom of the falls. Approaching too close can result in serious injury or death.",2023-03-29 16:26:24.0,Cuyahoga Valley National Park
Lock 29 Overflow Parking,cuva,"Lock 29 Overflow Parking off Mill Street West in Peninsula is closed from March 24, 2023 to December 31, 2023.",2023-03-27 08:28:22.0,Cuyahoga Valley National Park
Train Operations Suspended,cuva,Cuyahoga Valley Scenic Railroad (CVSR) is suspending its modified train operations and spring activities in the park. Ongoing geotechnical soil monitoring in recent weeks identified increasing erosion along the tracks.,2023-03-03 17:31:25.0,Cuyahoga Valley National Park
Boston Store Trailhead River Access Closure,cuva,"The Boston Store Trailhead River Access at mile marker 26.6 will be closed for construction of a pedestrian bridge over the Cuyahoga River. The closure will last from March 10, 2023 to June 18, 2023, this is subject to change.",2023-03-01 11:29:06.0,Cuyahoga Valley National Park
Face masks required indoors in high COVID transmission counties,cuva,"The park spans Cuyahoga and Summit Counties in Ohio. If county transmission levels are high, masks are required inside Canal Exploration Center (Cuyahoga County), and/or Boston Mill Visitor Center (Summit County).",2022-09-01 13:34:56.0,Cuyahoga Valley National Park
Expect Crowding,cuva,Parking lots and popular destinations are crowded especially on weekends and days with warm weather between 10 a.m. and 3 p.m.,2022-05-05 08:17:48.0,Cuyahoga Valley National Park
Paddling Hazard Upstream from Lock 39/Rockside Road,cuva,A significant woody debris hazard exists near a set of metal pylons and timber groynes just upstream from the Lock 39/Rockside Rd. access. Do not attempt to paddle through during medium/low flow. Portage on river right. .,2020-08-13 11:56:49.0,Cuyahoga Valley National Park
Current East Rim Trail Status,cuva,"Click ""more"" to find out if the East Rim Trail is open for today. In good conditions trail is open 6:00 a.m. - 11:00 p.m. for bikers and as posted for other trail users. In wet or hazardous conditions, the trail will close to all users to prevent damage.",2016-03-28 14:21:46.0,Cuyahoga Valley National Park
Road to Rim Village is Temporarily CLOSED,crla,The road from Park Headquarters to Rim Village remains CLOSED due to large amounts of snow received during the most recent winter storm. There is no estimate for reopening at this time.,2023-04-05 14:42:20.0,Crater Lake National Park
Crater Lake National Park is a Snow Zone,crla,"Roads are plowed, but icy and snow covered. Crater Lake National Park is a Snow Zone - chains or traction tires are required when entering the park and must be the correct size and quantity for the vehicle. All ODOT regulations apply.",2022-12-23 16:38:22.0,Crater Lake National Park
Steel Visitor Center is Closed for Construction,crla,The visitor center at park headquarters is currently closed for a major rehabilitation project. Restrooms are available at Rim Village and Goodbye Picnic Area.,2022-11-23 15:37:24.0,Crater Lake National Park
Rim Drive and North Entrance Road Closed for the Season,crla,"The park has closed Rim Drive, North Entrance and Pinnacles Roads for the winter season. Please be prepared for winter driving conditions.",2022-11-09 16:56:15.0,Crater Lake National Park
"High surf, rip currents, and heavy rainfall through the weekend.",viis,"From Wednesday April 5, 2023, and running through Sunday April 9th, high winds and northerly swell are forecast to impact waters around Virgin Islands National Park resulting in potentially dangerous shore break and rip currents.",2023-04-05 14:24:21.0,Virgin Islands National Park
River Mountain Loop Trail Partial Closure - MM 11.5-20.5,lake,"The River Mountain Loop will be closed for resurfacing and crack repair from mile marker 11.5 to approximately mile marker 20.5 from April 3 through July 30, 2023.",2023-04-05 14:05:11.0,Lake Mead National Recreation Area
Temporary Closure - Echo Bay Primitive Dirt Launch Ramp,lake,"Park facilities crews have encountered water-saturated silt that can trap vehicles at the primitive, dirt launch ramp at Echo Bay. For now, the area will be open to paddle craft only.",2023-04-03 17:21:01.0,Lake Mead National Recreation Area
Katherine Landing Boat Fuel Access Changes,lake,"Due to a modernization project, only land-based fuel is currently available at Katherine Landing for boats. Dock based fuel should be available again by Mid-April 2023.",2023-03-31 11:53:16.0,Lake Mead National Recreation Area
Launch Ramp Conditions,lake,Get the most current launch ramp and water elevation conditions,2023-01-30 10:43:24.0,Lake Mead National Recreation Area
Big Cypress National Preserve Issues Temporary Area Closure for the Cypress Trail Wildfire,bicy,"Big Cypress National Preserve has issued a temporary trail closure to promote visitor safety during current wildfire activity effective immediately, April 5, 2023. During the closure all recreational use are prohibited in the designated areas.",2023-04-05 13:29:29.0,Big Cypress National Preserve
Trail Fire Smoke Impacts,bicy,Smoke impacts from the Trail Wildfire are expected on I75 near mile marker 68. Please use caution when driving in the area.,2023-04-04 16:31:36.0,Big Cypress National Preserve
Burn Ban in Effect Across Collier County,bicy,"Due to the ongoing Collier County Burn Ban, no open burning will be allowed in campgrounds at this time. Only smoke in areas free of combustible fuels and ensure cigarette is disposed of properly. Caution should be used when operating equipment",2023-03-10 18:33:05.0,Big Cypress National Preserve
Seasonal Campground Closures,bicy,"Campgrounds may close seasonally, temporarily for repairs, or for resource concerns. For more information contact the Oasis Visitor Center at 239-695-4111 or the Nathaniel P. Reed Visitor Center at 239-695-695-4758 or visit our campground page.",2023-01-04 08:53:25.0,Big Cypress National Preserve
Big Cypress National Preserve Open,bicy,Big Cypress National Preserve has fully reopened following Hurricane Ian.,2022-10-17 08:27:26.0,Big Cypress National Preserve
Oasis Visitor Center Hours Change,bicy,The Oasis Visitor Center is now open Tuesday-Saturday from 9:00am-4:30pm. It will be closed Sunday-Monday. The bathrooms will remain open seven days a week.,2022-07-21 11:58:30.0,Big Cypress National Preserve
Off Road Vehicle Inspections UPDATE: 5/27/22,bicy,"Beginning 5/27 ORV renewals & new permits will be issued at the Nathanial P. Reed Visitor Center Friday-Monday, 9am-1:30pm. No permits will be issued Tuesday-Thursday. Permits will be issued first-come first-served. Visit our ORV page for more information",2022-05-24 10:29:08.0,Big Cypress National Preserve
Dangling Rope Marina Closed Indefinitely,rabr,"Due to significant wind damage and low water conditions, Dangling Rope Marina will not reopen in the immediate future. The damaged docks are not safe for visitors or employees. There is no estimated date for reopening.",2023-04-05 13:13:13.0,Rainbow Bridge National Monument
No dock access to Rainbow Bridge Trail,rabr,"No dock access to the shoreline at Rainbow Bridge due to low water. Boats and small vessels beach at your own risk. Houseboats are too large to navigate the canyon. There are no services on the dock, which has been moved out of the way.",2022-09-02 14:41:21.0,Rainbow Bridge National Monument
Security Closures,cato,"Due to increased security measures, portions of the park will be closed at approximately 2 p.m. on Thursday, April 6. Closures are scheduled to continue through approximately 8 p.m. on Sunday, April 9, 2023. Check the ""news"" tab for further details.",2023-04-05 13:00:06.0,Catoctin Mountain Park
Camp Greentop,cato,"Due to ongoing construction to improve the visitor and group experience Camp Greentop is currently closed for renovation and rehabilitation. We anticipate an opening of late summer. For updates or inquiries please email, CATO_CampManager@nps.gov.",2023-02-08 10:37:23.0,Catoctin Mountain Park
Winter Road Closures,cato,Park Central Road will be closed at various times throughout the winter due to inclement weather. Manahan (gravel) Road and Park Central Road (west of Manahan Road) will remain closed for the winter. Call the visitor center for updates 301-663-9388.,2022-11-30 13:11:05.0,Catoctin Mountain Park
Trails Closed as of 4/5/23 at 12:00ET Due to Weather,abli,All trails will be closed as of 4/5/23 12:00 PM ET Due to Weather. Please check weather with National Weather Service before visiting park.,2023-04-05 11:00:13.0,Abraham Lincoln Birthplace National Historical Park
Weather Alert,abli,Severe weather alert 4/5/23 - please check weather with the National Weather Service for updates before visiting.,2023-04-05 10:08:30.0,Abraham Lincoln Birthplace National Historical Park
Kentucky Boyhood Home at Knob Creek Unit Visitor Center has Seasonal Hours,abli,The Knob Creek Visitor Center and Knob Creek Cabin are closed for winter season. The grounds at the Kentucky Boyhood Home at Knob Creek Unit are open from sunrise to sunset. The Visitor Center at the Birthplace Unit and Symbolic Cabin are open year round.,2023-03-16 12:03:41.0,Abraham Lincoln Birthplace National Historical Park
Birthplace Unit Open Daily!,abli,The Birthplace Visitors Center is open daily 9:00am to 5pm (ET) and the Memorial Building is open daily from 9:00am to 4:30pm (ET) Please be sure to ask about the Jr. Ranger Program for kids!,2022-10-11 11:11:05.0,Abraham Lincoln Birthplace National Historical Park
"Boaters: Small Craft Advisory from 10 pm on Thursday, April 6 until 4 am on Friday, April 7.",pore,"The Nat. Weather Service has issued a Small Craft Advisory for coastal waters between Point Arena and Point Reyes, including Tomales Bay. Winds of 21–33 knots (24–38 mph) and/or steep waves are expected to produce hazardous wave conditions to small craft.",2023-04-05 09:45:55.0,Point Reyes National Seashore
Hazardous conditions along the tops and bases of coastal bluffs.,pore,"In 2015, Arch Rock collapsed. In 2017, part of the bluff at Tomales Point collapsed. In 2023, sections of coastal bluffs throughout the park collapsed. Bluff tops may be unstable and additional collapses will & do occur. Stay on designated trails.",2023-03-20 09:40:54.0,Point Reyes National Seashore
Temporary Closure of Drakes Beach and Limited Access to Drakes Beach Road and Parking Lot,pore,"The Drakes Beach area and Drakes Beach Rd from Sir Francis Drake Blvd are closed to all vehicle, foot, & bicycle traffic from 4 pm to 10 am due to elephant seal activity at the parking lot. However, there may be access for seal viewing from 10 am to 4 pm.",2023-02-12 18:02:26.0,Point Reyes National Seashore
Harbor Seal Pupping Season Closures are in effect from March 1 through June 30.,pore,"From March 1 through June 30, the park implements closures of Drakes Estero, Double Point, & the western end of Limantour Spit to protect harbor seals during the pupping season. Please avoid disturbing seals to ensure a successful pupping season.",2022-12-24 17:54:27.0,Point Reyes National Seashore
Pet Owners: Annual closure of a portion of Point Reyes Beach to pets from March 1 to September 30.,pore,Point Reyes Beach between the North Beach parking lot and Kehoe Beach Trail is closed to pets from March 1 to September 30 to better ensure the survival of snowy plover nests and chicks.,2022-12-23 14:21:03.0,Point Reyes National Seashore
Delayed Open,agfo,"The park will open at 10am on Wednesday, 4/5, due to yesterday's snowstorm. Please drive safely when driving to the park as roads may be slick.",2023-04-05 09:17:38.0,Agate Fossil Beds National Monument
No Fuel Services,agfo,Fuel up before visiting! Agate Fossil Beds National Monument is 30-50 miles from the nearest service stations.,2021-05-07 13:38:17.0,Agate Fossil Beds National Monument
Limited Cell Phone Coverage,agfo,Cell phone voice and data coverage is very limited in the park and surrounding area. Free visitor WiFi is available in the visitor center.,2021-05-07 13:18:05.0,Agate Fossil Beds National Monument
"Wednesday, April 5, 2023 - Sunny Today with a High of 38 °F (3 °C)",grca,"Dry and warming weather expected for the remainder of the week. All trails into the canyon are snow-packed and icy. You will encounter snow drifts, icy slush, mud and fallen rocks from snowmelt. Foot traction and trekking poles are recommended.",2023-04-05 01:23:15.0,Grand Canyon National Park
"What's Closed and What's Open This Week? —Wednesday April 5, 2023",grca,"Coconino County is in CDC LOW Community Level —Face masks are not required this week, indoors or on park shuttle buses. The Visitor Center is CLOSED today. Follow the link for a list of the available services and their hours of operation.",2023-04-05 01:22:28.0,Grand Canyon National Park
Tree Removal Work Is Occurring for Multiple Construction Projects at the South Rim Until Early April,grca,Most of the work will be in administrative or residential areas and some will occur near Trailer Village and the Greenway Trail that connects to the town of Tusayan. Please adhere to any signs and construction flaggers during intermittent closures.,2023-03-17 19:39:21.0,Grand Canyon National Park
Gastrointestinal Illness Was Reported in Grand Canyon's Backcountry During 2022,grca,Prevent illness by proper hand washing and ensure the safety of your drinking water.,2023-01-07 08:45:20.0,Grand Canyon National Park
The North Rim is Closed for the Winter,grca,The North Rim will open for the 2023 season on May 15. Lodging reservations are recommended. Campground reservations are required.,2022-12-26 21:43:04.0,Grand Canyon National Park
Nāhuku (Thurston Lava Tube) Lights Out,havo,The lights inside Nāhuku (Thurston Lava Tube) are temporarily out. The lava tube remains open. Please bring a flashlight and use extra caution when entering.,2023-04-04 22:29:38.0,Hawaiʻi Volcanoes National Park
Temporary Closure of Mauna Loa Road,havo,"During the week of the 60th Annual Merrie Monarch Festival travel on the Mauna Loa Road will be restricted to hiking, biking and official motor vehicle traffic only. The closure dates are from 6:00 pm Friday, April 7th to 6:00 pm Sunday, April 16th.",2023-03-24 15:44:56.0,Hawaiʻi Volcanoes National Park
Mauna Loa Trail Closed Above Red Hill Cabin,havo,"Mauna Loa Trail, the summit cabin and wilderness area above Red Hill Cabin remain closed due to hazards from the recent eruption. Red Hill Cabin is open and requires a permit for overnight use.",2023-03-20 21:30:42.0,Hawaiʻi Volcanoes National Park
Park Closure due to Winter Weather,badl,"Badlands National Park and Highway 240 will be closed Wednesday, April 4th due to winter weather and poor road condtions. Travel is not advised. Please keep updated with road conditions and travel advisories throughout South Dakota.",2023-04-04 18:53:58.0,Badlands National Park
Navigation,badl,"Do not rely on GPS digital navigation systems to find your way to Badlands National Park. Please note that the Visitor Center at 25216 Ben Reifel Road, Interior SD 57750 is located just off I-90.",2020-12-16 09:25:24.0,Badlands National Park
Grand Portage NM Heritage Center and administrative offices closed April 5 due to severe weather,grpo,The Grand Portage National Monument Heritage Center and administrative offices will be closed 4/5/2023 due to severe weather.,2023-04-04 17:57:33.0,Grand Portage National Monument
Winter is here!,grpo,Grand Portage receives a significant amount of snow and high winds. Old Highway 61(County Road 17) is not plowed and seldom traveled. Please use caution or avoid this unmaintained road for the season. Also be mindful of trees falling if hiking in the area,2022-12-28 11:42:43.0,Grand Portage National Monument
Face masks are not required.,grpo,"Community transmission level is currently at LOW or MEDIUM: Mask wearing is optional for staff, visitors, or others, regardless of vaccination status.",2022-11-11 10:06:52.0,Grand Portage National Monument
Minuteman Missile NHS Closed April 4 and 5 Due to Winter Weather,mimi,Minuteman Missile National Historic Site is closed 4/4-4/5/23 due to winter weather conditions.,2023-04-04 17:44:12.0,Minuteman Missile National Historic Site
Face Masks Are Optional,mimi,Face masks are currently optional in all buildings at Minuteman Missile NHS.,2022-07-07 10:16:37.0,Minuteman Missile National Historic Site
Delta-01 Tour Fee and Reservations,mimi,All Delta-01 Launch Control Facility Tours require advanced reservations. Reservations can be made up to 90 days in advance on-line or by phone at 605-717-7629. No SAME-DAY tours available during the summer season.,2019-04-08 11:44:30.0,Minuteman Missile National Historic Site
Warning about GPS Systems!,mimi,"Vehicle Navigation Systems and GPS units may provide inaccurate information—sending drivers the wrong way on one-way roads, leading them to dead ends in remote areas, or sending them on roads which are impassable. Use the Interstate exits for wayfinding.",2017-08-02 08:27:14.0,Minuteman Missile National Historic Site
Active Construction Underway on Tour Road Improvement Project,sara,"Construction will begin on Tour Stops 6 and 10, along with minor work at other stops, this week. The Tour Road will be open during this work, but there will be localized closures. Please follow all signage and respect fences and closures.",2023-04-04 17:16:26.0,Saratoga National Historical Park
Tour Stop 6 Closure - Wilkinson Trail Detour,sara,The tour road improvement project has reached Stop 6! Sections of the Wilkinson Trail in that area are closed to pedestrians. Please follow detour signs around Tour Stop 6 via the horse trail (See Map). Please observe any closed areas and do not enter.,2022-10-24 13:07:31.0,Saratoga National Historical Park
Long Distance Phone Outage,care,"The park is unable to place long distance calls at this time. Incoming calls are still able to be answered. Alternatively, it is possible to contact the park via email",2023-04-04 15:10:18.0,Capitol Reef National Park
"Starting August 1, 2023 Generators Only in Loop C",care,"Starting August 1, 2023 generator use will only be allowed in Loop C of the Fruita Campground.",2023-03-20 15:04:23.0,Capitol Reef National Park
Special Use Permits,care,"Special Use Permits are typically needed for activities that benefit a specific group. Examples include: Groups of 40 or more, trips organized by scouting groups, churches, or academic institutions, photography, weddings, and first amendment activities",2023-02-23 17:40:28.0,Capitol Reef National Park
Winter Conditions,care,Some roads may be temporarily closed due to snow. Expect some snow and ice on roads. The river ford can be 12-20 inches deep. Slow down & drive carefully. Hiking trails can be icy. Traction devices that attach to your hiking shoes are highly recommended,2022-12-07 19:04:23.0,Capitol Reef National Park
Spring 2023 Prescribed Fire Burning Notice,laro,"Lake Roosevelt National Recreation Area may implement the following prescribed fire during the Spring of 2023. In Stevens County, the following location is slated for a prescribed burn: Gifford, 67 acres adjacent to the Gifford Campground and Boat Launch.",2023-04-04 13:05:35.0,Lake Roosevelt National Recreation Area
Evans Campground,laro,Evans campground and group site will be open April - July. It will close August 1st to complete work on the seawall.,2023-03-22 12:14:38.0,Lake Roosevelt National Recreation Area
Phase 3 of Cayuse Cove Stabilization Project begins 09/07/2022,laro,Beginning 09/07/2022 until the Memorial Day weekend the gravel parking lot and part of the paved boat launch at Porcupine Bay will be closed. Bureau of Reclamation is using these areas to load materials for a stabilization project upstream.,2022-08-31 17:28:00.0,Lake Roosevelt National Recreation Area
Extended Fish Cleaning Station Closure,laro,Park fish cleaning stations will remain closed while the NPS researches and tests better alternatives. This closure includes the restroom facility located at the Fort Spokane boat launch.,2022-06-07 11:03:30.0,Lake Roosevelt National Recreation Area
Hawk Creek Lane Restriction at Lake Roosevelt National Recreation Area,laro,"Due to undercutting action of Hawk Creek on the access road between the Hawk Creek campground and boat launch, the road will be reduced to one lane until further notice.",2018-11-01 12:41:38.0,Lake Roosevelt National Recreation Area
Chainsaw crew on the Minnehaha Bike Trail at Coldwater Spring and to the south of Coldwater,miss,A chainsaw crew is clearing downed trees and branches after the heavy snow over the weekend. Visitors should use caution when traveling along the trails due to tree damage. High winds are possible over the next few days that may dislodge broken branches.,2023-04-04 12:36:35.0,Mississippi National River & Recreation Area
Water and Bathrooms at the West Entrance Station,jotr,Park rangers are working on the water filling station and the bathrooms at the West Entrance. Both the drinking water and bathrooms may be unavailable. Bring plenty of water with you before entering the park.,2023-04-04 12:32:59.0,Joshua Tree National Park
49 Palms Trail Temporarily Closed,jotr,"The 49 Palms Trail will be temporarily closed for maintenance from January 9, 2023 to late April 2023. This closure will begin each week on Sunday at 10 pm and last until Thursday at 4 pm. The trail will be open to hikers Friday through Sunday.",2023-03-22 17:50:29.0,Joshua Tree National Park
COVID-19 Transmission Levels,jotr,"Check on COVID transimission levels in San Bernardino & Riverside County before you visit. Masks may be required inside of visitor centers regardless of vaccination status, consistent with CDC guidance regarding areas of substantial or high transmission.",2023-03-22 17:49:58.0,Joshua Tree National Park
Keys View Road Afternoon Closures,jotr,Keys View Road often closes in the afternoon due to traffic and road conditions and frequently remains closed through sunset.,2023-03-20 13:49:52.0,Joshua Tree National Park
Little Rock Central High School National Historic Site visitor center closures - April 2023,chsc,The Central High School NHS Visitor Center is open Tuesday through Saturday (10:00 a.m. CST/CDT to 4:00 p.m. CST/CDT). Guests may visit the NHS daily; use the NPS App for digital content on days when the visitor center is closed.,2023-04-04 12:19:48.0,Little Rock Central High School National Historic Site
"Current Mask Policy in Visitor Center - week of April 2, 2023",chsc,"Consistent with CDC guidance regarding areas at a LOW COVID-19 community level, masks are OPTIONAL for visitors to Little Rock Central High School NHS, regardless of vaccination status, inside all park buildings.",2023-04-04 12:19:16.0,Little Rock Central High School National Historic Site
Parkway Closed Near Roanoke Due to Slope Failure,blri,The Parkway is closed to all uses from Milepost 121.4 (U.S. 220) to Milepost 135.9 (Adney Gap) due to a full road failure caused by heavy rains. Visit the associated news release for more information and a detailed detour map by clicking this alert,2023-04-04 12:11:58.0,Blue Ridge Parkway
Closures Due to Weather,blri,Temporary weather-related closures may be in effect along the parkway. Please check the road and facility closure page for updates to the road status.,2022-12-08 17:25:20.0,Blue Ridge Parkway
COVID-19 Mask Requirement,blri,The NPS has updated its masking guidance based on the CDC’s COVID-19 Community Levels tool. Masking requirements will vary along the parkway based on local conditions. Masks are still required on all forms of enclosed public transportation.,2022-03-09 16:30:42.0,Blue Ridge Parkway
Administration Building Jug Fountain Temporarily Closed,hosp,"Due to a leak, the thermal water jug fountain in front of the park Administration Building on Reserve St. is temporarily closed. The sidewalk area around the fountain will also be inaccessible as our Maintenance staff repairs the leak.",2023-04-04 10:19:09.0,Hot Springs National Park
Visitor Center Construction,paal,There is a door installation project in progress at the Visitor Center. Visitors will still be able to access the Visitor Center with minimal interruptions.,2023-04-04 09:43:19.0,Palo Alto Battlefield National Historical Park
Kolob Canyons Road partially closed,zion,"The road is open as far as Taylor Creek Trailhead. No one (including drivers, hikers, and bikers) can go past this trailhead due to road damage. We will remove this alert when the road is opened. This does not affect Zion Canyon Shuttle System service",2023-04-03 20:50:53.0,Zion National Park
Avoid flash floods,zion,"Flash floods are a sudden increase in the depth and speed of water in rivers, streams, or washes due to rain. Flood waters carry large debris like tree trunks and boulders and can happen at any time in Zion.",2023-03-31 11:48:48.0,Zion National Park
Avalanche risk for oversnow visitors on Kolob Terrace Road at and near Black Canyon,zion,"Oversnow visitors such as snowshoers or skiers, or drivers of snowcats or snowmobiles, should be aware of the possibility of avalanche at and near Black Canyon. Learn more about seasonal changes to visits at Zion.",2023-03-22 17:45:55.0,Zion National Park
Toxic Cyanobacteria in the Virgin River and the streams of Zion National Park,zion,Do not submerge your head in or filter drinking water from still or moving water.,2023-03-15 20:31:23.0,Zion National Park
"The Narrows--open from Temple of Sinawava, closed from Chamberlain's Ranch",zion,The Narrows is closed from Chamberlain's Ranch (for top-down travel) due to water flow above 120 cubic feet per second within the last 24 hours. The Narrows is currently open from the Temple of Sinawava (for up-and-back hikes).,2023-03-13 19:11:50.0,Zion National Park
"Lava Point Road, Overlook, and Campground closed",zion,"The Lava Point area is closed due to snow. This is a regular, seasonal closure, and we will remove this alert when snow melts.",2023-03-13 12:02:02.0,Zion National Park
Angels Landing Pilot Permit Program,zion,Everyone who hikes Angels Landing needs to have a permit. Learn why you need a permit and how to get one. This requirement does not affect entering the park or riding the park shuttle (when it is running).,2023-02-18 12:39:08.0,Zion National Park
Construction at South Entrance near Springdale,zion,There is one lane open into Zion and one lane open out of Zion at the park's south entrance. Expect delays entering the park. This is to accommodate drainage improvement work under the road.,2023-02-16 13:01:48.0,Zion National Park
Camp only in campgrounds,zion,"If you camp in a vehicle in an area that is not a designated campground, you may get a citation. Learn more about opportunities to camp in Zion.",2022-10-05 12:46:27.0,Zion National Park
PARK CLOSED - TUZIGOOT FIRE,tuzi,"Due to a fire within park boundary, the park is closed until further notice. Please visit our social media for updates and information. https://www.nps.gov/tuzi/learn/news/tuzigoot-fire-grows-to-100-acres.htm",2023-04-03 17:09:41.0,Tuzigoot National Monument
