line1,line2,line3,city,stateCode,postalCode,address
National Trails Office Regions 6|7|8,Trail of Tears National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,"National Trails Office Regions 6|7|8, Trail of Tears National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
44340 Hwy 139,,,Tuelake,CA,96134,"44340 Hwy 139, , , Tuelake, CA, 96134"
Tule Springs Fossil Beds National Monument,Durango & Moccasin Parking Area,Durango Drive & Moccasin Road,Las Vegas,NV,89143,"Tule Springs Fossil Beds National Monument, Durango & Moccasin Parking Area, Durango Drive & Moccasin Road, Las Vegas, NV, 89143"
1895 E Frontage Road,,,Tumacacori,AZ,85640,"1895 E Frontage Road, , , Tumacacori, AZ, 85640"
2083 Main St,,,Tupelo,MS,38801,"2083 Main St, , , Tupelo, MS, 38801"
1616 Chappie James Ave.,,,Tuskegee,AL,36083,"1616 Chappie James Ave., , , Tuskegee, AL, 36083"
1212 West Montgomery Road,,,Tuskegee Institute,AL,36088,"1212 West Montgomery Road, , , Tuskegee Institute, AL, 36088"
25 Tuzigoot Rd,,,Clarkdale,AZ,86324,"25 Tuzigoot Rd, , , Clarkdale, AZ, 86324"
7400 Grant Road,,,St. Louis,MO,63123,"7400 Grant Road, , , St. Louis, MO, 63123"
274 River Road,,,Beach Lake,PA,18405,"274 River Road, , , Beach Lake, PA, 18405"
39201 New Mexico Highway 4,,,Jemez Springs,NM,87025,"39201 New Mexico Highway 4, , , Jemez Springs, NM, 87025"
1400 North Outer Line Drive,,,King of Prussia,PA,19406,"1400 North Outer Line Drive, , , King of Prussia, PA, 19406"
81 Vanderbilt Park Road,,,Hyde Park,NY,12538,"81 Vanderbilt Park Road, , , Hyde Park, NY, 12538"
3201 Clay Street,,,Vicksburg,MS,39183,"3201 Clay Street, , , Vicksburg, MS, 39183"
5 Henry Bacon Drive NW,,,Washington,DC,20002,"5 Henry Bacon Drive NW, , , Washington, DC, 20002"
Hurrican Hole,,,St. John,VI,00830,"Hurrican Hole, , , St. John, VI, 00830"
1300 Cruz Bay Creek,,,St. John,VI,00830,"1300 Cruz Bay Creek, , , St. John, VI, 00830"
Voyageurs National Park Headquarters,360 Hwy 11 East,,International Falls,MN,56649,"Voyageurs National Park Headquarters, 360 Hwy 11 East, , International Falls, MN, 56649"
6220 Steinbeck Bend Drive,,,Waco,TX,76708,"6220 Steinbeck Bend Drive, , , Waco, TX, 76708"
3 Walnut Canyon Road,,,Flagstaff,AZ,86004,"3 Walnut Canyon Road, , , Flagstaff, AZ, 86004"
135 Murray Blvd.,Ste. 100,,Hagatna,GU,96910,"135 Murray Blvd., Ste. 100, , Hagatna, GU, 96910"
2 15th St. NW,,,Washington,DC,20024,"2 15th St. NW, , , Washington, DC, 20024"
Washington-Rochambeau National Historic Trail,Make requests of Trail Administrator at Johnny_Carawan@NPS.gov,1400 North Outer Line Drive,King of Prussia,PA,19406,"Washington-Rochambeau National Historic Trail, Make requests of Trail Administrator at Johnny_Carawan@NPS.gov, 1400 North Outer Line Drive, King of Prussia, PA, 19406"
"18555 Hwy 47A, Ste. A",,,Cheyenne,OK,73628,"18555 Hwy 47A, Ste. A, , , Cheyenne, OK, 73628"
735 Nod Hill Road,,,Wilton,CT,06897,"735 Nod Hill Road, , , Wilton, CT, 06897"
14412 Kennedy Memorial Drive,,,Whiskeytown,CA,96095,"14412 Kennedy Memorial Drive, , , Whiskeytown, CA, 96095"
19955 Hwy 70 W,,,Alamogordo,NM,88310,"19955 Hwy 70 W, , , Alamogordo, NM, 88310"
328 Whitman Mission Road,,,Walla Walla,WA,99362,"328 Whitman Mission Road, , , Walla Walla, WA, 99362"
2038 Auburn Avenue,,,Cincinnati,OH,45219,"2038 Auburn Avenue, , , Cincinnati, OH, 45219"
6424 W. Farm Road 182,,,Republic,MO,65738,"6424 W. Farm Road 182, , , Republic, MO, 65738"
26611 US Highway 385,,,Hot Springs,SD,57747,"26611 US Highway 385, , , Hot Springs, SD, 57747"
719 South King Street,,,Seattle,WA,98104,"719 South King Street, , , Seattle, WA, 98104"
1551 Trap Road,,,Vienna,VA,22182-1643,"1551 Trap Road, , , Vienna, VA, 22182-1643"
136 Fall Street,,,Seneca Falls,NY,13148,"136 Fall Street, , , Seneca Falls, NY, 13148"
"1493 Pennsylvania Avenue NW,",,,Washington,DC,20004,"1493 Pennsylvania Avenue NW,, , , Washington, DC, 20004"
1750 Independence Ave. SW,,,Washington,DC,20024,"1750 Independence Ave. SW, , , Washington, DC, 20024"
Wrangell-St. Elias National Park & Preserve,Mile 106.8 Richardson Highway,,Copper Center,AK,99573,"Wrangell-St. Elias National Park & Preserve, Mile 106.8 Richardson Highway, , Copper Center, AK, 99573"
1000 North Croatan Highway,,,Kill Devil Hills,NC,27948,"1000 North Croatan Highway, , , Kill Devil Hills, NC, 27948"
25137 N. Sunset Crater-Wupatki Loop Rd.,,,Flagstaff,AZ,86004,"25137 N. Sunset Crater-Wupatki Loop Rd., , , Flagstaff, AZ, 86004"
2 Officers Row,Yellowstone National Park Headquarters,,Yellowstone National Park,WY,82190,"2 Officers Row, Yellowstone National Park Headquarters, , Yellowstone National Park, WY, 82190"
Yorktown Battlefield,1000 Colonial Parkway,,Yorktown,VA,23690,"Yorktown Battlefield, 1000 Colonial Parkway, , Yorktown, VA, 23690"
9039 Village Drive,,,Yosemite,CA,95389,"9039 Village Drive, , , Yosemite, CA, 95389"
Off County Rd 20.5,,,Cortez,CO,81321,"Off County Rd 20.5, , , Cortez, CO, 81321"
101 Dunkel St,Suite 110,,Fairbanks,AK,99701,"101 Dunkel St, Suite 110, , Fairbanks, AK, 99701"
Zion National Park,1 Zion Park Blvd.,,Springdale,UT,84767,"Zion National Park, 1 Zion Park Blvd., , Springdale, UT, 84767"
