Park Name,parkCode,Description,Directions,Address
Aleutian Islands World War II National Historic Area,aleu,"During World War II the remote Aleutian Islands, home to the Unangax̂ (Aleut) people for over 8,000 years, became a fiercely contested battleground in the Pacific. This thousand-mile-long archipelago saw invasion by Japanese forces, the occupation of two islands; a mass relocation of Unangax̂ civilians; a 15-month air war; and one of the deadliest battles in the Pacific Theater.",The park is located on Amaknak Island in the Aleutian Island chain. The island is located 800 miles west of Anchorage. The island can be reached by commercial or charter air flights from Anchorage. Commercial flights to Unalaska include Pen Air and Alaska Airlines. The Alaska Marine Highway is a ferry service that is operated by the state that can be used to reach the island. The Aleutian World War II Visitor Center is located at the Unalaska airport.,"Affiliated Areas, Alaska Regional Office, National Park Service, 240 W 5th Avenue, Anchorage, AK, 99501"
Alibates Flint Quarries National Monument,alfl,"13,000 years ago, this site was well-known by mammoth hunters as a source of flint for tools. Centuries passed, but the colorful flint never lost its value or usefulness in the Texas Panhandle. Learn how important this site was to the survival, commerce and culture of the people of the High Plains.","Alibates Flint Quarries is located approximately 35 miles north of Amarillo, Texas. From I-40 in Amarillo, take Lakeside exit north towards Lake Meredith National Recreation Area. Exit on TX 136 north towards Borger. After about 30 miles, turn west from TX 136 onto Cas Johnson Road. Park Service signs will be visible. Proceed approximately 3 miles to ""Y"" intersection and bear to right. Go northwest approximately 2 miles to the Alibates Flint Quarries National Monument Visitor Center.","37084 Alibates Rd., , , Potter County, TX, 79036"
Allegheny Portage Railroad National Historic Site,alpo,"The first railroad to circumvent the Allegheny Mountains, the Allegheny Portage Railroad was the finishing piece of the Pennsylvania Main Line Canal. ""The Portage"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.","The park is located just off U.S. Route 22 approximately 12 miles west of Altoona and 10 miles east of Ebensburg. Take the Gallitzin Exit and turn right, following the signs. Visitors prior to 1992 accessed the park in other ways, but the Gallitzin Exit of US Route 22 is the way to access the visitor center and historic area.","110 Federal Park Road, , , Gallitzin, PA, 16641"
Amache National Historic Site,amch,"Amache, also known as the Granada Relocation Center, near Granada, Colorado was one of ten incarceration sites established by the War Relocation Authority during World War II to unjustly incarcerate Japanese Americans. Over 10,000 people, most American citizens, were incarcerated at Amache from 1942-1945. Amache - a place to reflect, recommit, and further the pursuit of freedom and justice.","Amache National Historic Site is in southeastern Colorado about 1.5 miles west of the town of Granada, 17.5 miles east of Lamar, and half an hour drive from the Kansas border. The site is located off Highway 385/50 along the Santa Fe Trail.","County Rd 23 5/10, , , Granada, CO, 81041"
American Memorial Park,amme,"American Memorial Park honors the American and Marianas people who gave their lives during the Marianas Campaign of World War II. At the park, memorials stand in tribute to the courage and sacrifice of the US Servicemen and Chamorro and Carolinian civilians who were killed in the battles between the United States and Japan that took place on Saipan, Tinian, and the Philippine Sea in 1944.","The park is centrally located along the western shoreline of Saipan, adjacent to downtown Garapan. From airport, proceed north on Airport Road (Tun Herman Pan Highway) until the road ends at Monsignor Guerrero Road (Highway 16). Turn left and continue until the road ends at Beach Road. Turn right until the road ends at the American Memorial Park Mall. Turn left onto Micro Beach Road. The parking lot is on the right.","Beach Road, , , Saipan, MP, 96950"
Amistad National Recreation Area,amis,"An oasis in the desert, Amistad National Recreation Area consists of the US portion of the International Amistad Reservoir. Amistad, whose name comes from the Spanish word meaning friendship, is best known for excellent water-based recreation, camping, hiking, rock art viewing, and its rich cultural history. Amistad is also home to a wide variety of plant and animal life above and below the water.",Six miles west of the HWY 90 and 277 North intersection at 10477 Highway 90 West.,"10477 Highway 90 West, , , Del Rio, TX, 78840"
Anacostia Park,anac,"Welcome to Anacostia Park, your neighborhood national park in the heart of Washington, DC! Enjoy exercise along the river trail or relax by the water, Anacostia Park is a breath of fresh air and a space to unwind amid a bustling city.",Anacostia Park is located in South East Washington DC running parallel to the Anacostia river. The park can be accessed from the South Capitol bridge over the Anacostia river across from the Nationals baseball stadium. You can also enter the park from the Baltimore-Washington Parkway (295). You can enter the park from Good Hope Road or from Nicholson Street.,"1900 Anacostia Drive, S.E., , , Washington, DC, 20020"
Andersonville National Historic Site,ande,"Nearly 13,000 men died on these grounds, a site that became infamous even before the Civil War ended. Their burial grounds became Andersonville National Cemetery, where veterans continue to be buried today. This place, where tens of thousands suffered captivity so others could be free, is also home to the National Prisoner of War Museum and serves as a memorial to all American prisoners of war.",Andersonville National Historic Site is located in southwest Georgia. The park is approximately 12 miles north of Americus and 11 miles south of Montezuma on GA-49.,"Andersonville National Cemetery, National Prisoner of War Museum, 496 Cemetery Road, Andersonville, GA, 31711"
Andrew Johnson National Historic Site,anjo,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.","GPS The GPS setting for Andrew Johnson NHS may be listed as 121 Monument Ave, which is the park HQ in the National Cemetery. To arrive at the Visitor Center, use 101 North College Street, Greeneville, TN. Plane The closest airport is the Tri-Cities Regional Airport, 43 miles NE of Greeneville. From the airport, take I-81 South to exit 36 and follow the signs to Greeneville. Car From I-81S take exit 36 to Rt. 172 south to Greeneville. From I-81N take exit 23 to Rt. 11E north to Greeneville.","Andrew Johnson NHS, , , Greeneville, TN, 37743"
Aniakchak National Monument & Preserve,ania,"Given its remote location and challenging weather conditions, Aniakchak is one of the most wild and least visited places in the National Park System. This landscape is a vibrant reminder of Alaska's location in the volcanically active ""Ring of Fire,"" as it is home to an impressive six mile (10 km) wide, 2,500 ft (762 m) deep caldera formed during a massive volcanic eruption 3,500 years ago.","Located on the Alaska Peninsula, 450 miles southwest of Anchorage, Aniakchak National Monument and Preserve is inaccessible by road. Notoriously bad weather makes access to Aniakchak unpredictable. Drop-offs and/or pick-ups may be significantly delayed.","1000 Silver St., Bldg. 603, PO Box 7, , KIng Salmon, AK, 99613"
Antietam National Battlefield,anti,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",Ten miles south of I-70 on Maryland Route 65,"5831 Dunker Church Rd., , , Sharpsburg, MD, 21782"
Apostle Islands National Lakeshore,apis,"Imagine that moment, being in that perfect spot as the sun rises, and everything comes into focus. A rocky shoreline suddenly reflects the world around you. Waiting for you among the water, land, forests, and history is that moment. How will the islands inspire you?",Apostle Islands National Lakeshore features several points of interest with much of it only accessible by water.,"415 Washington Avenue, , , Bayfield, WI, 54814"
Appalachian National Scenic Trail,appa,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.","There are many points of access along the Appalachian Trail, whether it is by car, train, bus or plane. For more detailed directions, please refer to the ""Directions"" section of our park webpage.","Appalachian Trail Park Office, P.O. Box 50, , Harpers Ferry, WV, 25425"
Appomattox Court House National Historical Park,apco,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the end of the nation's largest war. Two important questions about its future were answered. Could the nation survive a civil war intact, and would that nation exist without slavery? The answer to both was yes and a new nation was born.","Appomattox Court House NHP is located 3 miles east of U.S. Highway 460, and 3 miles east of the modern town of Appomattox, Virginia along Rt. 24.","Appomattox Court House National Historical Park, 239 George Peers Drive, , Appomattox, VA, 24522"
Arches National Park,arch,"Discover a landscape of contrasting colors, land forms, and textures unlike any other. The park has over 2,000 natural stone arches, hundreds of soaring pinnacles, massive rock fins, and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.","Arches National Park is located in southeast Utah, five miles north of Moab on US 191. From Moab, Utah, drive five miles north on Main Street/US 191. Turn right at the stoplight. From Interstate 70, take exit 182 (Crescent Junction), then drive south 28 miles on US 191. Turn left at the stoplight.","5 miles north of Moab, Utah, on US 191, , , Moab, UT, 84532"
Arkansas Post National Memorial,arpo,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.","Arkansas Post National Memorial is located in southeastern Arkansas. The entrance to the park is on Arkansas Hwy 169, seven miles south of Gillett, via US Hwy 165 (The Great River Road), and about 20 miles northeast of Dumas, via US 165.","1741 Old Post Road, , , Gillett, AR, 72055"
"Arlington House, The Robert E. Lee Memorial",arho,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American history: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.","Public Transportation: The Memorial is accessible by the Blue Line of the Metro subway system. The Arlington Cemetery subway station is near the Visitor Center for the cemetery. Car: Arlington House is located inside Arlington National Cemetery. If you plan to come in a vehicle, the nearest parking is in the Arlington National Cemetery parking garage. From the entrance and Welcome Center at Arlington National Cemetery, one can walk up the hill to Arlington House (approximately 15 minutes-steep)","Arlington House, The Robert E. Lee Memorial, Arlington National Cemetery, , Arlington, VA, 22211"
Assateague Island National Seashore,asis,"Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.","There are two entrances to Assateague Island National Seashore. Assateague's north entrance is at the end of Route 611, eight miles south of Ocean City, MD. The south entrance is at the end of Route 175, two miles east of Chincoteague, VA. There is no vehicle access between the two entrances on Assateague Island. Vehicles must return to the mainland to access either the north or south entrance.","7206 National Seashore Lane, , , Berlin, MD, 21811"
Aztec Ruins National Monument,azru,Pueblo people describe this site as part of their migration journey. Today you can follow their ancient passageways to a distant time. Explore a 900-year old ancestral Pueblo Great House of over 400 masonry rooms. Look up and see original timbers holding up the roof. Search for the fingerprints of ancient workers in the mortar. Listen for an echo of ritual drums in the reconstructed Great Kiva.,"From Albuquerque/Bloomfield, NM: Follow Hwy 550 north into Aztec, turn left onto Highway 516, drive 3/4 mile, then turn right onto Ruins Road. Follow Ruins Road 1/2 mile to the monument. From Durango, CO: Follow Hwy 550 south into Aztec, where it will become 516. Turn right onto Ruins Road. Follow Ruins Road 1/2 mile to the monument. From Farmington, NM Follow Highway 516 east into Aztec. 1/4 mile past Lightplant Road, turn left onto Ruins Road. Follow Ruins Road 1/2 mile to the monument.","725 Ruins Road, , , Aztec, NM, 87410"
Badlands National Park,badl,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient horses and rhinos once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.","Badlands National Park is located 75 miles east of Rapid City, South Dakota. Physical Addresses for GPS* Park Headquarters: 25216 Ben Reifel Road, Interior, SD 57750. Northeast Entrance (I-90, Exit 131): 21020 SD Hwy 240, Interior, SD 57750. Pinnacles Entrance (I-90, Exit 110): 24240 Hwy 240, Wall, SD 57790. Interior Entrance: 20640 SD Hwy 377, Interior, SD 57750.","25216 Ben Reifel Road, , , Interior, SD, 57750"
Baltimore-Washington Parkway,bawa,"This 29-mile highway connects Baltimore, MD and Washington, D.C. The parkway has carried visitors to and from the capital city since 1954.","This 29-mile highway connects Baltimore, MD and Washington, D.C","Baltimore Washington Parkway, , , Greenbelt, MD, 20770"
Bandelier National Monument,band,"Bandelier National Monument protects over 33,000 acres of rugged but beautiful canyon and mesa country as well as evidence of a human presence here going back over 11,000 years. Petroglyphs, dwellings carved into the soft rock cliffs, and standing masonry walls pay tribute to the early days of a culture that still survives in the surrounding communities.","From NM285 US84 in Pojaque NM. West on NM502, West on NM4 to White rock. Then 12 miles to the monument entrance on the south side of the road.","Bandelier National Monument, 15 Entrance RD, , Los Alamos, NM, 87544"
Belmont-Paul Women's Equality National Monument,bepa,"Home to the National Woman's Party for more than 90 years, this was the epicenter of the struggle for women's rights. From this house in the shadow of the U.S. Capitol and Supreme Court, Alice Paul and the NWP developed innovative strategies and tactics to advocate for the Equal Rights Amendment and equality for women. President Barack Obama designated the national monument on April 12, 2016.","The Belmont-Paul Women's Equality NM is located on Capitol Hill at the corner of Constitution Avenue and 2nd Street, NE, next to the Hart Senate Office building. It is a free-standing, federal style brick house surrounded by a black cast-iron fence. The entrance for museum tours and the museum shop is located on 2nd Street with the lift accessible entrance located to the side of the museum next to the Hart Senate Office Building. The doors facing Constitution Avenue are not entrances.","144 Constitution Ave NE, , , Washington, DC, 20002"
Bent's Old Fort National Historic Site,beol,"Bent's Old Fort National Historic Site features a reconstructed 1840s adobe fur trading post on the mountain branch of the Santa Fe Trail where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, living historians recreate the sights, sounds, and smells of the past with guided tours, demonstrations and special events.","The park is accessed via U.S. Highway 50 and Highway 194. From La Junta, Colorado on U.S. Highway 50, take Colorado Highway 109 north 1 mile to Colorado Highway 194, then east on Colorado Highway 194 six miles to the fort. From Las Animas, Colorado, on U.S. Highway 50, take Colorado Highway 194 west 13 miles. Set your GPS to 35110 State Highway 194 E., La Junta, CO.","35110 State Highway 194, , , La Junta, CO, 81050"
Bering Land Bridge National Preserve,bela,Bering Land Bridge National Preserve lies at the continental crossroad that greatly influenced the distribution of life in the Western Hemisphere during the Pleistocene Epoch. It is a vital landscape for indigenous communities who depend on the land just as their ancestors did for many generations. It is a wild and ecologically healthy landscape unlike any other.,"The Bering Land Bridge Visitor Center is located in Nome, AK. Nome, AK is not on the road system and may be reached via a commercial flight. The Bering Land Bridge Visitor Center is located about a mile from Nome Airport. Bering Land Bridge National Preserve is located in the northern portion of the Seward Peninsula. There are no roads or trails into the parklands. Logistics on how to reach Bering Land Bridge is based on an individual’s resources and abilities.","214 Front St., Sitnasuak Building, , Nome, AK, 99762"
Big Bend National Park,bibe,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...","Several highways lead to Big Bend National Park: TX 118 from Alpine to Study Butte or FM 170 from Presidio to Study Butte (then 26 miles east to park headquarters) or US 90 or US 385 to Marathon (then 70 miles south to park headquarters). Distances between towns and services are considerable. Be sure you have plenty of gas, food, water, and supplies for your trip. There are no electric vehicle charging stations in Big Bend National Park. The closest EV charging station is 130 miles away in Fort Stockton.","1 Panther Junction, , , Big Bend National Park, TX, 79834"
Big Cypress National Preserve,bicy,"The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Conserving over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to diverse wildlife, including the Endangered Florida panther.",Big Cypress National Preserve is located along Tamiami Trail East (US 41) and I-75 in southern Florida. The preserve can be accessed by driving from the cities of Miami and Naples. The preserve's two visitor centers are located along Tamiami Trail East.,"33100 Tamiami Trail East, , , Ochopee, FL, 34141"
Big Hole National Battlefield,biho,"On August 9, 1877 gun shots shattered a chilly dawn on a sleeping camp of Nez Perce. By the time the smoke cleared on August 10, almost 90 Nez Perce were dead along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",Big Hole National Battlefield is located on Highway 43 ten miles west of the town of Wisdom in southwestern Montana. Bear Paw Battlefield is located on Route 240 sixteen miles south of the town of Chinook in north-central Montana.,"16425 Highway 43 West, , , Wisdom, MT, 59761"
Big South Fork National River & Recreation Area,biso,"Encompassing 125,000 acres of the Cumberland Plateau, Big South Fork National River and Recreation Area protects the free-flowing Big South Fork of the Cumberland River and its tributaries. The area boasts miles of scenic gorges and sandstone bluffs, is rich with natural and historic features and has been developed to provide visitors with a wide range of outdoor recreational activities.",Please use the following link to learn more about how to get here from various locations.,"4564 Leatherwood Road, , , Oneida, TN, 37841"
Big Thicket National Preserve,bith,"Life of all types abounds in the Big Thicket. This national preserve protects the incredible diversity of life found where multiple habitats meet in southeast Texas. Hiking trails and waterways meander through nine different ecosystems, from longleaf pine forests to cypress-lined bayous. It is a place of discovery, a place to wander and explore, a place to marvel at the richness of nature.","The main corridor through the Big Thicket is US Hwy 69/287 between Beaumont and Woodville. Many smaller roads and highways branch off of the main corridor to reach trailheads and scenic areas. The visitor center is located at the intersection of US 69/287 and FM 420, about 7 miles north of Kountze and 30 miles north of Beaumont.","6102 FM 420, , , Kountze, TX, 77625"
Bighorn Canyon National Recreation Area,bica,"The vast, wild landscape of Bighorn Canyon National Recreation Area offers visitors unparalleled opportunities to immerse themselves in the natural world, and experience the wonders of this extraordinary place. With over 120,000 acres, one can find an astounding diversity in ecosystems, wildlife, and more than 10,000 years of human history to explore.","Bighorn Canyon has two districts that are separated by a three hour drive. To get to the North District at Fort Smith, MT from Billings,take Interstate 90 south to Hardin, MT. Turn at exit 495 onto State Highway 313 to St. Xavier and then to Fort Smith, Montana. To get to the South District at Lovell, WY from Billings, MT, take Interstate 90 west. Turn at exit 434 at Laurel, MT. Turn onto US 310 East/US 212 South. Turn at US 310 East to Lovell. The visitor center is on the east side of Lovell.","Bighorn Canyon National Recreation Area South District Visitor Center, 20 US Hwy 14A, , Lovell, WY, 82431"
Birmingham Civil Rights National Monument,bicr,"In 1963, images of snarling police dogs unleashed against non-violent protesters and of children being sprayed with high-pressure hoses appeared in print and television news around the world. These dramatic scenes of violent police aggression against civil rights protesters in Birmingham, Alabama were vivid examples of segregation and racial injustice in America.","Via I-65 North or South From I-65, take I-20/59 NE towards Atlanta. Exit at the 17th Street Exit (first exit off of I-20/59). Bear right and proceed to the light. From that light go two blocks to 6th Avenue N. Turn right on to 6th Avenue N. The Birmingham Civil Rights Institute is one block up on your left. A.G. Gaston Motel The interior of the A.G. Gaston Motel is currently closed to the public and updates for the Motel opening will be available on the NPS park website at a later date.","A.G. Gaston Motel, 1520 5th Avenue North, , Birmingham, AL, 35203"
Biscayne National Park,bisc,"Within sight of Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Evidence of 10,000 years of human history is here too; from prehistoric tribes to shipwrecks, and pineapple farmers to presidents. For many, the park is a boating, fishing, and diving destination, while others enjoy a warm breeze and peaceful scenery.",The Dante Fascell Visitor Center may be reached from the Florida Turnpike by taking Exit 6 (Speedway Boulevard). Turn left from exit ramp and continue south to SW 328th Street (North Canal Drive). Turn left on 328th Street and continue for four miles to the end of the road. The park entrance is on the left just before the entrance to Homestead Bayfront Marina.,"9700 SW 328th Street, Sir Lancelot Jones Way, , Homestead, FL, 33033"
Black Canyon Of The Gunnison National Park,blca,"Big enough to be overwhelming, still intimate enough to feel the pulse of time, Black Canyon of the Gunnison National Park exposes you to some of the steepest cliffs, oldest rock, and craggiest spires in North America. With two million years to work, the Gunnison River, along with the forces of weathering, has sculpted this vertical wilderness of rock, water, and sky.","7 miles north on CO Highway 347 from the intersection with U.S. Highway 50 east of Montrose. Physical/GPS address is - 9800 Hwy 347, Montrose, CO 81401","South Rim Visitor Center, 9800 Highway 347, , Montrose, CO, 81401"
Blackstone River Valley National Historical Park,blrv,"The Blackstone River powered America's entry into the Age of Industry. The success of Samuel Slater's cotton spinning mill in Pawtucket, RI touched off a chain reaction that changed how people worked and where they lived, and continues to reverberate across the nation to this day. Come visit and see how this revolution transformed the landscape of the Blackstone Valley and then the United States.","The park headquarters is located at the Wilkinson Mill in the Historic Slater Mill Complex in Pawtucket, RI. 67 Roosevelt Avenue Pawtucket, RI 02860 401-428-3816","67 Roosevelt Ave, , , Pawtucket, RI, 02860"
Blackwell School National Historic Site,blsc,"Built in 1909, the Blackwell School served as a segregated school for the Hispanic population of Marfa, Texas, during the era of de facto segregation from 1889-1965. This site will help preserve and share stories from a time when the practice of “separate but equal” dominated education and social systems in the United States.","The Blackwell School is located at the corner of Waco and Abbott Streets in South Marfa Texas. From the 4-way stop light, go two blocks west and three blocks south.","501 South Abbott Street, , , Marfa, TX, 79843"
Blue Ridge Parkway,blri,"A Blue Ridge Parkway experience is unlike any other: a slow-paced and relaxing drive revealing stunning long-range vistas and close-up views of the rugged mountains and pastoral landscapes of the Appalachian Highlands. The Parkway meanders for 469 miles, protecting a diversity of plants and animals, and providing opportunities for enjoying all that makes this region of the country so special.","The parkway is a 469-mile-long scenic road connecting Shenandoah National Park in Virginia to Great Smoky Mountains National Park in North Carolina. Numerous federal and state highways provide access to the parkway. Milepost markers are positioned every mile along the parkway, starting at 0 in Virginia and ending at 469 in North Carolina. We suggest using a map to identify the area you want to visit, as GPS directions often do not incorporate the parkway's milepost system.","Milepost 384, , , Asheville, NC, 28803"
Bluestone National Scenic River,blue,The Bluestone River and the rugged and ancient gorge it has carved is a richly diverse and scenic area of the southern Appalachians. Bluestone National Scenic River is preserved as a living landscape that provides an unspoiled experience for visitors and a haven for a variety of plants and animals. The park protects a 10.5-mile section of the Bluestone River in southern West Virginia.,"Bluestone National Scenic River is most easily accessed via Bluestone State Park and Pipestem Resort State Park. A narrow, graveled park road provides access to the Bluestone Turnpike Trail at the former Lilly town site at the confluence of the Little Bluestone River. To reach these parks from I-64, take exit 139, then south on Rt. 20. From I-77 take exit 14 to Rt.20 north. Either direction, Bluestone State Park is 15 miles and Pipestem is 22 miles.","3405 Pipestem Drive, , , Pipestem, WV, 25979"
Booker T Washington National Monument,bowa,"Booker T. Washington was born a slave in April 1856 on the 207-acre farm of James Burroughs. After the Civil War, Washington became the first principal of Tuskegee Normal and Industrial School. Later as an adviser, author and orator, his past would influence his philosophies as the most influential African American of his era. Come explore his birthplace.","The monument is located on AV 122 (Booker T. Washington Highway), 22 miles southeast of Roanoke, VA. From I-81 take I-581, then U.S. 220 south from Roanoke to VA 122. From the Blule Ridge Parkway take VA 43 south to VA 122. From Lynchburg take U.S. 460 west to VA 122.","12130 Booker T. Washington Highway, , , Hardy, VA, 24101"
